Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
9,"16, 110, 216, 225, 228, 235, 306, 331, 510",11,"04199 180 00773, 05132A010 00000, 05512A632, 05549A735, 05551A735 00000, 11950A072900068, 11955A072800172, 12251 001200532, 47C06 009 00000, 47C16 054 00000, 47C17 054 00000"
5,"215, 306, 310, 330, 510",11,"02924A012 00033, 17202 372 01828, 18072 852000015, 19803 111900025, 20442 022 09332, 21084 015 06670, 21085 015 06836, 22437 118 00770, 23747 501 00186, 23883A070400020, 23990C120800037"
6,"16, 110, 215, 330, 510, 515",11,"00872A01W 07157, 01412A035 01102, 04651 009 07664, 06172 029 00008, 06490 000 00811, 06698 000 00014, 07282 380 00011, 11752 000, 15C23 808 00579, 15C36 059500520, 19C452 388  490"
7,"109, 215, 306, 310, 330, 510, 515",11,"13679A300000005, 18019 200000001, 18034 001100100, 18036 41900 601, 18293 661500023, 18382 000 00000, 20340 000 00000, 20447 727 02108, 20448 727 01927, 21476 000 00097, 671331088900004"
9,"219, 225, 228, 231, 306, 310, 330, 510, 515",11,"11958 090300060, 11992 066600378, 12299 021200097, 12322A021900120, 12329 000300460, 12336 020600372, 12386 022300021, 12514 050200056, 12742 066800172, 12883 064800053, 13557 001300557"
6,"16, 109, 215, 330, 510, 515",11,"01C810101400105, 09227A058701692, 10816A028 00115, 11C69S008300206, 15419A390000505, 15466AA09 00188, 16362 980 00033, 18946 864 00003, 20478 927 00180, 39C223255500001, 59C439060000722"
6,"31, 111, 216, 228, 332, 510",11,"23B007000000000, 23B008000000000, 25A09 C14000786, 25A10 C14000794, 25A18 C13800060, 25A46 C12900203, 25A55 C11500002, 25D10 C20300188, 25E18 C30701106, 25E28 C31300489, 29C77 651 00063"
7,"215, 225, 234, 306, 310, 331, 510",11,"04960A102 08622, 12311 000300184, 12312 000300197, 17140 035 01045, 17165 035 01059, 18865 000 00270, 19633 000 00000, 20379 229 04826, 20463 091 10272, 21709C503600190, 22099 121100010"
1,240,10,"01755O229 05090, 17027 033 03231, 17028 033 03254, 18400 000000000, 20030 000 00000, 21273 000000000, 22340 000 00418, 22507 000 01450, 22550 000 00081, BC001 000000000"
7,"205, 215, 234, 306, 310, 331, 510",10,"07027B000000000, 07042B000000000, 16334 424 00148, 18534 015 02392, 19187 000 00000, 19837 000 00000, 19838 000 00000, 20070 804 00150, 20870 005 15575, 22134 174200010"
7,"16, 109, 215, 306, 310, 331, 510",10,"02439B054 01241, 11381A858 00371, 18910 000 00000, 19881 000 00000, 21415 129 00008, 22602 000 00008, 23923 038 00740, 23925 218 00008, 39C531507000848, 40070 000 00000"
7,"16, 110, 205, 215, 234, 306, 331",10,"06505 019 00312, 07587A001 15665, 08023 001 10485, 08114 001C24354, 08177 001 19674, 08252 212 00241, 08363 001F24166, 08553 062 02738, 08689F227 00365, 14096A000"
8,"12, 109, 205, 215, 234, 310, 331, 510",10,"02203A006 33763, 08898 064 01198, 08944 002C12331, 08945 002 12943, 09188 004 01335, 09598 02WC07275, 13540A064 01743, 16055 064 02434, 16055A064 02433, 16132A106 00162"
7,"30, 107, 202, 219, 330, 510, 515",10,"01C414537 00284, 01C800999 00065, 19138 012 00021, 19139 003 00177, 19140 023 00058, 19609 110 00008, 21117 042 00000, 21118 042 00000, 61C44 000000000, 61C45 000000000"
7,"12, 109, 205, 215, 234, 301, 331",10,"17426 162 01323, 20088 010 00542, 20199 000 00000, 20306 734 00325, 20398 455 02520, 20641 001 17162, 20642 001 17162, 20644 001 17156, 22003 039 05619, 22005 000 00000"
7,"104, 215, 306, 310, 330, 510, 515",10,"10904 068100000, 11815 412 00108, 18005 000000003, 18840 140900030, 19700 000 00000, 22072 000 00007, 23974 218 00015, 24310 124 00908, 25B137000000000, 671424010001670"
5,"215, 306, 310, 330, 515",9,"17925 309200025, 17926 309200026, 18599 098100090, 186661134900380, 18984 325100015, 19C424037900031, 21473 069700000, 29C51 594 00024, 59C015105000909"
7,"12, 107, 215, 306, 330, 510, 515",9,"19C005000800648, 19C034001501223, 19C038001800829, 19C060000700405, 19C208004300271, 19C209004300507, 19C330000301142, 19C341   5  524, 19C421035700018"
6,"210, 215, 306, 310, 331, 510",9,"00482B035 03876, 00681B022 00933, 039C47612000282, 09815 D02 00125, 16852 372 00183, 20639 000 00060, 21322 047 05784, 21323 047 05455, 39C453439003721"
8,"31, 111, 216, 228, 306, 330, 510, 515",9,"03C23 000 00090, 14097 000, 14118 000 00240, 14426 000 00200, 14521 000, 14530 000, 35C116121000180, 59C437060000425, 671377151200120"
5,"110, 205, 215, 234, 331",9,"08132 001 23767, 08230 001 22709, 08231 001 22458, 08237 001 21828, 08242 001 21456, 08243 001 21205, 08253 001 21908, 08254 001 22158, 21764 000 00000"
7,"16, 110, 205, 215, 220, 331, 510",9,"00548A000 00000, 01559 015 00805, 01873A037 02364, 06508 018 01183, 12101A42402 093, 13352A114301914, 13761A114301584, 25E09 C30500006, 470216000"
7,"30, 107, 215, 310, 330, 510, 515",9,"18649 097300839, 19265 026 04258, 19841 212 00010, 20445 000 00050, 20446 000 00000, 21009 000 00000, 21093 313 01791, 22358 C11400047, 49C02 059400000"
7,"12, 109, 215, 306, 310, 331, 521",9,"18046 033 02510, 18048 033 02530, 18049 033 02544, 18050 033 02575, 18051 033 02620, 18055 033 02770, 18427 02200 856, 18518 015 02259, 21041 001 19299"
0,,9,"04079A062 03740, 17333 004 13948, 19185 000 00000, 19186 000 00000, 22051 000 00011, 22316 007 00165, 22604 006 27087, 23237 000 00000, 671229014400280"
4,"220, 240, 241, 515",9,"06787A001 09750, 06788A001 09734, 06789A001 09713, 06790A001 09696, 06791A001 09682, 06792A001 09664, 06793A001 09642, 06794A001 09627, 06795A001 09605"
6,"38, 215, 225, 234, 310, 331",9,"18348 001 23935, 18351 001 24003, 18352 001 24020, 18353 001 24170, 19219 001 24170, 19220 001 24020, 19222 001 24003, 19224 001 23985, 19226 001 23935"
6,"30, 107, 219, 330, 510, 515",8,"01C033114400039, 01C212654C00187, 01C215553 00600, 21059 023 00000, 21624 000 00070, 59C395067500032, 59C503581 00035, 61C23 054 00350"
7,"38, 215, 226, 234, 306, 331, 510",8,"00351A030 01831, 07494B001 28938, 07494C001 28938, 08251N001 20534, 08251S001 20534, 09457 144 00285, 12208B210 00630, 14138A452 00151"
7,"30, 107, 215, 306, 330, 510, 515",8,"18103 000000000, 18104 000000000, 49C09 096600000, 59C192100000820, 59C285100000144, 59C398067500119, 59C456 550 0500, 59C552073100041"
6,"215, 301, 310, 330, 510, 515",8,"18512 098700196, 19649 026 05779, 19723 026 04604, 19852 040200008, 20201 045 01067, 20285 800 01400, 22075 103 00448, 671400112000010"
9,"12, 109, 205, 215, 234, 301, 310, 331, 510",8,"009359174200010, 08377 001 04882, 09120 006 35304, 09120A006 35304, 09717 064 01376, 09717A064 01376, 13540 064 01743, 21161 001 16343"
7,"16, 110, 215, 220, 330, 510, 515",8,"05314 000 00436, 06093 015 00300, 06132 006 00099, 06263 000, 06329 000 00001, 06338 000 00001, 06480 000   002, 53C120959900054"
2,"241, 510",8,"07T19 000 00000, 19638 000 00000, 29C280797 00467, 33C17 582000398, 33C18 582000411, 530012530000010, 63C89 772 00032, 63C90 772 00122"
7,"16, 110, 205, 215, 306, 331, 510",8,"01074A025 04024, 01468 009 01282, 02029 047 03738, 03970B015 03952, 05C03 000   003, 07657 01E 02726, 07824 001 11918, 08093B001C06613"
3,"215, 310, 331",8,"16842 777 00152, 17986 039 02275, 19929 000 00012, 19983 000 00100, 24046 000 00007, 24132 748 00013, 24133 564 00094, 47B010000000000"
9,"12, 109, 205, 215, 234, 301, 310, 331, 521",8,"09346 001C 8812, 20422 001 11774, 20582 045 03639, 20583 045 03876, 20611 001 10541, 20612 001 10541, 21306 001 15649, 21343 025 00697"
6,"215, 220, 310, 330, 510, 515",8,"16604 D42 00342, 17C5400E3500190, 19196 000 00000, 19673 000 00000, 20388 073503500, 29C09 538   180, 37C0532-1000300, 41C25 5037  015"
6,"16, 109, 215, 310, 330, 515",8,"01C806960 00036, 16831 011200025, 16832 000000000, 18082 105900094, 18822 039 00125, 20589 109 00314, 39C628622000188, 57C77 864 00181"
7,"12, 109, 215, 220, 330, 510, 515",8,"15474A057001418, 45C202083900025, 45C204110500079, 45C205103600145, 45C206077500193, 45C207077400325, 45C215066200352, 45C216095600028"
6,"109, 215, 306, 310, 331, 510",8,"18143 030 00070, 18939 861400012, 19836 012 02075, 20808 000 00000, 21747C120402440, 22191 000 00274, 23884 000 00000, 24007C250100129"
4,"110, 215, 331, 510",8,"00844A028 01744, 02084 350 01605, 04677 032 00581, 07918 351 00652, 09C57 209700696, 09C59 209700760, 13690A112800839, 17B001000000000"
8,"12, 109, 205, 215, 234, 302, 310, 331",8,"09334 001C 7883, 09554 171 00038, 11C65I008500006, 18426 18426 962, 19188 206500000, 21763 000 00000, 22125 069 01276, 23324069AQ01069"
3,"241, 331, 510",8,"000604000000000, 08800 025 00295, 22143 000 00000, 33C19 582000435, 470620000 00000, 470810470810000, 47C202004000096, 531520531500053"
6,"16, 110, 205, 306, 331, 510",8,"07793A001 17789, 07861A001 16958, 08150 533 00100, 08475 052200000, 12738 002400462, 14509A000, 21C08 455 00300, 59C379082501362"
7,"16, 110, 205, 215, 234, 331, 510",7,"01419A020 00325, 06543 015 00701, 08052 380 05549, 08980 833 00645, 13354A114301730, 15C31 510 00017, 29C279797 00433"
6,"109, 215, 310, 330, 510, 515",7,"09B02 000 00010, 12011A10601 060, 13647B306400309, 13648B306400196, 13752A116000192, 20390 090002075, 20452 090002210"
6,"16, 110, 215, 306, 331, 510",7,"00403A01W 05106, 00893 182 00419, 00894 182 00394, 00896 182 00148, 07818 000 00001, 07820 992 02131, 19C335  96  016"
5,"38, 210, 215, 331, 510",7,"00144 414700848, 00920A050 02570, 01066A004 01446, 07074 053 11558, 08892 042F00218, 08959 112800198, 55C013062800050"
7,"31, 111, 215, 306, 330, 510, 515",7,"12693 034200297, 13598 014 00190, 13600 014 00459, 14199 262 00120, 59C132100001949, 59C642100001643, 65C48 183 00237"
6,"16, 110, 205, 215, 331, 510",7,"03325A380 05014, 03326A380 05167, 08100 001F06163, 08701 380 03848, 15468A994 00128, 15469A994 00203, 470614000"
8,"16, 105, 205, 215, 234, 306, 331, 510",7,"08281 035 00007, 08996 123 00533, 09126 052 00321, 09283 061 00207, 09284 061 00202, 09611 144 00147, 09612 144 00176"
5,"215, 301, 310, 331, 510",7,"17428 162 01358, 17429 162 01358, 20304 001400223, 20391 025 02778, 20799 091 07883, 21655069AW01270, 21657001LS19590"
6,"38, 205, 210, 215, 331, 510",7,"00185A02W 07071, 01C510876Y00039, 02836A414 00044, 08325 777 00130, 08720 710 00962, 09374 001C09596, 09436 101500102"
6,"38, 215, 226, 234, 331, 510",7,"08238N001 21785, 08238S001 21785, 08245N001 21092, 08245S001 21092, 09413 210 00585, 09414 210 00591, 19C505 154  003"
9,"16, 110, 205, 215, 220, 234, 306, 331, 510",7,"00492A01W 05789, 01118A025 04087, 01504 028, 01505 028, 04654 009 07961, 05913A960 00000, 65C04 000 00291"
8,"219, 225, 228, 306, 310, 330, 510, 515",7,"12326 022100050, 12391 023600134, 12513 050200127, 12542 043000066, 12676 070200105, 12688 070100462, 12801A007A00068"
7,"16, 105, 205, 215, 234, 306, 331",7,"02074 103 00525, 03139A102 04062, 09276 061 00245, 09735 064 00514, 09735A064 00514, 16956 001C28941, 470414000"
9,"16, 38, 110, 205, 215, 234, 306, 331, 510",7,"07795A001 28067, 07795B001 28067, 07796A001 27867, 07796B001 27867, 07799A001 27640, 07799B001 27640, 07862A001 16925"
4,"219, 310, 330, 515",7,"01C18A672 00413, 16801 C57500007, 18484 000 01220, 18954 117100015, 20780 000 00009, 21C02 521 00001, 57C58 865 00001"
8,"16, 110, 205, 215, 234, 330, 510, 515",6,"00506 292 01499, 03062 172 00208, 07046A002 01737, 07406 501 00022, 470606000, 51C13 000 00001"
6,"104, 215, 310, 330, 510, 515",6,"07C04 031400065, 10905 053200000, 18276 050 00157, 20257 012200203, 31C94A106 00020, 671258033500050"
6,"30, 107, 202, 219, 510, 515",6,"01C216553 00511, 01C218550 00002, 01C220553 00471, 01C222553 00452, 01C224553 00378, 01C226553 00366"
7,"215, 225, 234, 306, 330, 510, 515",6,"06646 000600646, 671204129100310, 671312152000080, 671329095200001, 671333113500080, 671361A68400060"
8,"30, 107, 215, 306, 310, 330, 510, 515",6,"21340 000 00000, 22501 000 00000, 22502 000 00000, 49B07 000, 49C08 096600000, 49C22 057600000"
7,"31, 111, 210, 215, 330, 510, 515",6,"07C22 120 00436, 203340000000000, 246105246100012, 31C11 630, 31C41 000, 31C48 726 00039"
6,"38, 210, 215, 306, 331, 510",6,"01133A191 02307, 01251A191 02103, 07965A162 04047, 08504 006 25342, 09563E227 00820, 09563W227 00820"
10,"16, 110, 205, 215, 220, 234, 306, 330, 510, 515",6,"01471 226 00314, 02082A171 01390, 02762 009 08032, 04278A211 00631, 07519 02W 06121, 07817 162 04289"
8,"30, 107, 219, 225, 310, 330, 510, 515",6,"20619 C40500580, 21121 C11200150, 22421 C30700016, 22422C011000011, 24061C040900789, 24071C012100206"
3,"215, 332, 510",6,"13695A101900010, 21060 000 00000, 24019 000 00000, 29C105708 00086, 29C242965 00075, 40032 000"
5,"228, 306, 330, 510, 515",6,"11941A073800034, 12277 011200041, 12661A071400038, 12868A067100039, 14070 064700068, 22C06 001700409"
9,"12, 109, 205, 215, 234, 306, 310, 330, 515",6,"08077 162 01004, 08173B001 19839, 15455A302 00010, 15508A501 00569, 18990 001 12572, 20848 102 04370"
7,"30, 107, 219, 225, 330, 510, 515",6,"59C210118400011, 59C565084400147, 59C569085000024, 59C591085700590, 59C673144700791, 59C782144500005"
4,"215, 306, 310, 331",6,"19960 004 10544, 19961 004 10899, 20206 004 15305, 22162 000 00000, 22385 091 10368, 23854 000 00000"
4,"12, 109, 215, 331",6,"18309 000 00000, 18448 000 00000, 19032 000 00532, 20237 033 01802, 21036 772 00265, 23295 000 00000"
2,"241, 332",6,"07815 751 00155, 07816 751 00129, 22144 000 00000, 27C05 105 00114, 29C90 682 00316, 470630470630000"
5,"110, 205, 330, 510, 515",6,"02464 005 17062, 03558A048 00725, 07257 006000040, 08405 012 05391, 39C259247000233, 39C261247000334"
6,"109, 215, 306, 330, 510, 515",6,"00917AB40700152, 11219A130100377, 16173 992 00004, 16532N004 13765, 19730 041800175, 19853 105600010"
4,"216, 228, 330, 515",6,"12141A54801 028, 18C039134900500, 35C103109900070, 35C132110900055, 35C135085700015, 35C192098500390"
10,"12, 107, 210, 215, 306, 311, 313, 330, 510, 515",6,"19B03 000 00000, 19C109006300014, 19C110002900059, 19C140020001469, 19C233000601635, 19C415021100013"
10,"12, 107, 210, 215, 225, 306, 311, 330, 510, 515",6,"19C066005000130, 19C105002400550, 19C114007500200, 19C175002300369, 19C179007700006, 19C359  57  420"
5,"16, 110, 205, 330, 515",6,"07694 840 00580, 12047 90002 198, 12166A61001 017, 23C241 000 0040, 39C554516000096, 39C555516000136"
8,"110, 203, 205, 215, 306, 311, 334, 510",6,"01951 009 04086, 01952 009 04078, 01953 009 04075, 01954 009 04065, 01954A 009 4066, 01955 009 04058"
6,"110, 215, 226, 234, 331, 510",6,"08234N001 22037, 08234S001 22037, 08239N001 21739, 08239S001 21739, 08241N001 21697, 08241S001 21697"
4,"16, 110, 205, 331",6,"005001005100009, 12041A80404 935, 21C07 450 00838, 21C09 456 00500, 21C12 532 00930, 21C13 663 00500"
7,"16, 110, 205, 234, 306, 331, 510",6,"01833 002 10971, 02362A047 05022, 03761A270 01823, 06550 734 00142, 07743B001 18049, 08327 230 00254"
7,"216, 228, 235, 306, 330, 510, 515",6,"01C09A705 00036, 12272A013400129, 12540 043000023, 12651A070700162, 12732A032800036, 12947A646 00089"
11,"12, 107, 205, 215, 220, 234, 306, 313, 330, 510, 515",6,"06478 000 00159, 19C039001800882, 19C040001800920, 19C042  18 1060, 19C057005400005, 19C236000602374"
7,"219, 225, 228, 310, 330, 510, 515",6,"12447 052000108, 12474 051600148, 12502 022200403, 12529 051000245, 12663 071500085, 12974 060400124"
6,"54, 216, 228, 306, 332, 510",6,"47C29 097 00202, 47C34 510, 47C60 751, 47C76 907, 47C89 945, 47C95 969 00000"
7,"31, 111, 216, 228, 235, 330, 515",6,"15C26 124 00908, 35C163067700920, 35C228121000940, 41C11 41801 020, 41C24 200010065, 671255062900040"
7,"16, 110, 210, 215, 306, 331, 510",6,"00827A01W 05633, 00895 182 00324, 07027A000000000, 07030A000000015, 39C578508400490, 59C568082500383"
7,"215, 225, 306, 310, 330, 510, 515",6,"03247A242 01155, 19C163  21  384, 21188 047 00224, 57C65 741 00138, 671227103000060, 671373056900010"
7,"110, 205, 215, 234, 330, 510, 515",5,"02463 005 17049, 02734A005 12412, 05225A456 01098, 08322 01W 00526, 09C01 000 00000"
9,"30, 107, 215, 304, 311, 313, 330, 510, 515",5,"59C153089400397, 59C156089600072, 59C590085400240, 59C808088800009, 59C809088800253"
7,"210, 219, 306, 310, 330, 510, 515",5,"03756A270 00846, 03757B270 00915, 03759A270 01220, 03760A270 01247, 05283A270 01544"
9,"12, 109, 205, 215, 234, 300, 310, 331, 521",5,"19109 001 02707, 19282 001 02709, 19283 001 02709, 19626 001 07172, 20992 000 01358"
6,"12, 109, 215, 306, 330, 515",5,"01618A01E 01138, 17211 000000000, 18283 015 10740, 22314 045 01179, 39C546514200001"
3,"330, 510, 515",5,"11811 000, 18911 FAU 00100, 21342 000 01880, 21478 000 00065, 21651 000 00260"
7,"12, 109, 215, 306, 310, 331, 510",5,"01484 052 00000, 09272 820 00039, 09848 191 00299, 17123 000  B-39, 21395 115 00000"
7,"215, 306, 310, 330, 331, 510, 515",5,"17107 001C30731, 18109 000 00000, 19C523  26  002, 23253 000 01241, 671355C20600000"
5,"215, 220, 330, 510, 515",5,"06267 000 00085, 06486 000 00020, 11328A871 01290, 11686F000, 12658 071300188"
7,"215, 220, 306, 310, 330, 510, 515",5,"18078 085001957, 18857 272 02523, 21564 760300054, 29C272594 00440, 47C94 960 00000"
4,"228, 330, 510, 515",5,"11735 000, 11747 000, 12362 012700076, 12503 022200412, 12517 050300012"
6,"54, 216, 228, 330, 510, 515",5,"12010   101 220, 25E12 C302 0030, 25E13 C302 0045, 25E14 C302 0114, 25E21 C310 0157"
8,"30, 107, 215, 311, 313, 330, 510, 515",5,"18134 00059C363, 59C227121900024, 59C534069700321, 59C660147700025, 59C712080000004"
6,"38, 215, 306, 310, 331, 510",5,"22419 034 00162, 24145 000 01740, 24317 007 00030, 24320 073000082, 24373 000 00002"
6,"38, 215, 306, 330, 510, 515",5,"02493A073 01060, 19C277  55  320, 43C13 000, 43C16 000, 43C17 000"
8,"16, 110, 215, 226, 234, 306, 331, 510",5,"08171N001 20050, 08171S001 20050, 08180N001 19619, 08180S001 19619, 12820 001700047"
10,"16, 110, 116, 155, 205, 215, 234, 306, 331, 510",5,"01498 009 06414, 01500 009 06555, 01706 016 05244, 01937 271 00080, 05290 01EX00386"
6,"215, 234, 306, 310, 331, 510",5,"18237 18237 843, 19062 000 00000, 19823 004 26311, 20596 206500000, 470244000 00009"
2,"241, 331",5,"03395A234 01524, 07493 009 22943, 18017 000000000, 25B56 000 00001, 47C201003500205"
5,"38, 215, 306, 331, 510",5,"06945A002 01782, 16814 072C00650, 23961 102 08265, 24241 603 00106, 43C15 000"
8,"16, 110, 210, 215, 306, 330, 510, 515",5,"00361 164 00712, 01851A007 18275, 01852A007 18305, 03291 371 00227, 03292 371 00290"
6,"12, 109, 210, 215, 310, 331",5,"00633A504 00470, 014348370000704, 017433858 00128, 11272A568 00115, 11C87U013200005"
5,"104, 215, 310, 331, 510",5,"20057 414700732, 20058 414700549, 20059 414700460, 22043 075700001, 35C182052900090"
2,"220, 241",5,"21196 000 00000, 22349 000 00000, 22634 508 00620, 23906 000 02610, 23911 000 00647"
7,"110, 215, 227, 234, 306, 331, 510",5,"04166 027 00055, 08227N001 23048, 08227S001 23048, 08232N001 22242, 08232S001 22242"
6,"38, 210, 215, 330, 510, 515",5,"02561 028 01527, 03378 A08 00300, 06895 01W 00167, 09452 293 00310, 39C234246000443"
4,"110, 205, 331, 510",5,"01648A449 01003, 01926A350 01512, 04733A036 01775, 08931W006 16795, 16032 012 06365"
9,"12, 109, 205, 215, 234, 302, 310, 331, 510",5,"08344 004 27362, 08352 004 27299, 09215 035 04315, 09358 069 01005, 10907 067800000"
10,"12, 109, 205, 215, 234, 306, 310, 330, 510, 515",5,"01036A031 00703, 08471 162 00667, 09044 006 32743, 09044A006 32743, 21289 012200046"
5,"109, 215, 306, 331, 510",5,"18630 000 00020, 19051 000 00000, 19640 752100087, 20653 306900485, 22543 100 07210"
3,"215, 330, 510",5,"17437 004C14327, 22338 882 00050, 23948 61901 013, 23B004000000000, 24056 000 00380"
5,"38, 215, 330, 510, 515",5,"08372 584 00000, 13C06AB37600100, 13C24 211 00160, 16544 000 00000, 31B94 000000000"
7,"12, 107, 215, 220, 330, 510, 515",5,"15464 062 00020, 19C083008300182, 23C181018 00470, 23C182018 00600, 45C603080800085"
4,"215, 310, 332, 510",5,"29C199875 01017, 29C200875 00581, 29C209885 00116, 29C275524 00206, 29C278697 00001"
5,"215, 225, 310, 330, 515",5,"11C35B020200020, 16683 507 01565, 19C321004900953, 19C413120A00073, 23C251025 00220"
5,"109, 215, 330, 510, 515",5,"13779A405200017, 15558 088000059, 16257 727 01259, 16693 106200005, 18762 305500025"
8,"16, 110, 216, 228, 235, 306, 331, 510",4,"01557A417, 05552A735 00000, 14404A252 00360, 47C40 549"
11,"12, 109, 205, 215, 234, 306, 310, 330, 331, 510, 515",4,"08172 001 19915, 08911A171 00491, 09185 035 04056, 09187 025 02078"
8,"12, 109, 205, 215, 234, 310, 331, 521",4,"09021 002C15930, 09351 001C 8329, 16411 035 05169, 16414 035 05216"
8,"12, 110, 205, 215, 234, 306, 331, 510",4,"07403A002 04610, 07496 002 06302, 07496A002 06302, 08623 002 04731"
9,"16, 104, 205, 215, 234, 300, 310, 331, 521",4,"20021 001 03609, 20549 001 06145, 20550 001 06145, 20551 001 05578"
10,"12, 109, 205, 215, 234, 306, 310, 330, 331, 515",4,"01470A150 00071, 08167 001 20344, 08170 001 20128, 08186 001 19349"
9,"104, 155, 215, 300, 306, 314, 330, 510, 515",4,"17327 004 13620, 17328 004 13643, 17330 004 13710, 17331 004 13728"
8,"38, 215, 227, 234, 306, 330, 510, 515",4,"04642A009 06845, 04643A009 06867, 07181 009 07118, 07224 009 06636"
6,"12, 104, 215, 301, 310, 331",4,"18287 330020249, 19271 039 01916, 20743 002 04501, 23850 063 01103"
7,"12, 107, 215, 306, 310, 331, 515",4,"18724 000 00000, 19025 000 00000, 19C101017800113, 20873 028 06381"
7,"38, 205, 210, 215, 306, 331, 510",4,"08983 000 00551, 09193A228 00037, 09193B228 00037, 09389 572 00038"
8,"110, 205, 215, 234, 330, 331, 510, 515",4,"00646A026 09749, 08885 002 16886, 08893 042 00237, 08894 042 00248"
6,"16, 109, 215, 310, 331, 510",4,"11C13A001100390, 15C45 690 00507, 20101 000 00000, 29C229941 00852"
12,"12, 107, 205, 215, 220, 234, 306, 311, 313, 330, 510, 515",4,"19C222  67  339, 19C238000602482, 19C247003800740, 25T16 000 00223"
6,"110, 205, 215, 306, 331, 510",4,"08203B001 29604, 08423E006 31529, 08423W006 31529, 08567 004 00690"
8,"16, 109, 210, 215, 306, 310, 331, 510",4,"19C092  95  008, 19C476   1 2348, 20056 803 02301, 39C454439003758"
3,"241, 332, 510",4,"29C109713 00150, 29C115728 00001, 29C162810 00080, 29C27 555 00118"
11,"12, 107, 210, 215, 225, 306, 311, 313, 330, 510, 515",4,"19C132020001202, 19C204011000004, 19C239005200413, 19C268 48A  265"
8,"110, 116, 155, 205, 215, 234, 331, 510",4,"01578 01W 01382, 02010 01W 00486, 02104 300 07337, 02312 009 03913"
6,"31, 107, 215, 330, 510, 515",4,"05C02 000   001, 33C01 130000254, 423005423000011, 59C430062600205"
8,"12, 107, 215, 225, 234, 302, 331, 515",4,"11037A140900000, 11039A140900000, 11040A140900000, 11041A140900000"
7,"16, 105, 205, 215, 234, 331, 510",4,"07668A001 12422, 09011 001 30398, 13528 064 01962, 13531 064 01912"
6,"16, 105, 205, 215, 234, 331",4,"01327A307401786, 07668B001C12424, 09278 061 00225, 09381 026 01755"
8,"16, 105, 205, 215, 234, 302, 311, 331",4,"09250 061 00192, 09251 061C00189, 09254D047 07394, 09668 171 00011"
7,"30, 107, 215, 220, 330, 510, 515",4,"01C818101800031, 04T01 000 00035, 04T03 000 00173, 63C29 568 00199"
8,"16, 105, 205, 215, 234, 302, 310, 331",4,"07508A234 00010, 07624B001 28217, 09277 061 00235, 09870 001 28243"
8,"31, 111, 215, 220, 306, 330, 510, 515",4,"03C21 000 00010, 14131 000 00080, 57C43 857 00180, 65C74 415 00009"
5,"12, 215, 306, 310, 331",4,"18308 036 01873, 20890 000 00000, 21612 000 00014, 22541 020 02223"
7,"16, 110, 215, 306, 330, 510, 515",4,"00678 022 01981, 00883 046 01351, 06360 000 00055, 55C002062500506"
8,"12, 109, 205, 215, 220, 234, 310, 331",4,"02523A968 00000, 039C13244000039, 39C636624000758, 39C637624500437"
8,"54, 216, 225, 228, 235, 306, 332, 510",4,"47C04 008 00000, 47C31 433, 47C50 631, 47C71 870"
8,"210, 215, 220, 306, 310, 330, 510, 515",4,"039C49612000537, 12006   501 136, 39C553515500008, 41C01042901 028"
8,"30, 107, 219, 225, 306, 330, 510, 515",4,"59C155087500001, 59C386082500638, 59C443056400253, 59C743140000810"
5,"38, 205, 215, 234, 331",4,"04678 032 00732, 04805 032 00719, 27C35 605 00352, 59C017138600001"
9,"12, 109, 205, 215, 234, 300, 310, 331, 510",4,"06605A022 00038, 08522 026 03726, 29C781085901860, 29C782085901950"
7,"30, 107, 215, 304, 330, 510, 515",4,"59C074137400033, 59C641099800128, 59C736135001436, 59C748135001162"
11,"12, 109, 205, 215, 234, 301, 306, 310, 331, 510, 521",4,"08746S001 01329, 08851 001 02964, 08941E006 32123, 09260A001 00461"
5,"12, 104, 215, 310, 331",4,"18571 026 06380, 21014 004 15200, 21017 004 15200, 22517 002 01737"
7,"12, 109, 210, 215, 306, 310, 330",4,"00901C009 29575, 08026A001C10183, 21344 026 06170, 21346 026 06179"
8,"110, 205, 215, 234, 306, 311, 331, 510",4,"08226N001 23086, 08226S001 23086, 08575 001 30229, 08575R001 30235"
7,"215, 228, 234, 306, 330, 510, 515",4,"11825 000, 57C01 563 01028, 57C10 504 00270, 57C12 564 00001"
5,"216, 228, 306, 332, 510",4,"11926 074300011, 53C010085500081, 53C030001800179, 53C074067400200"
5,"219, 228, 330, 510, 515",4,"06253 000 00780, 06326 000 00115, 12470 001500450, 12812 076500727"
8,"12, 109, 215, 306, 310, 330, 510, 515",4,"00463 365 00103, 16687 100000398, 16862 073 05751, 19C324 195  316"
5,"215, 234, 306, 331, 510",4,"00571A019 11650, 02716A050 00381, 07979A006 36999, 07979B006 36999"
3,"219, 225, 310",4,"13328A582 00615, 21004 000 00000, 21010 000 00000, 57C80 664 00060"
7,"12, 109, 210, 215, 310, 331, 510",4,"00723A010 05992, 09322 114000270, 20352 246000648, 39C615610400386"
7,"215, 301, 306, 310, 330, 510, 515",4,"17356 002 01597, 22491 009 24404, 22492 009 24404, 25B70 000 00000"
7,"16, 110, 205, 306, 330, 510, 515",4,"15C004018400430, 16858 073 04716, 16859 073 05073, 39C548514200135"
6,"12, 109, 215, 220, 330, 515",4,"45C103082600019, 45C143069800372, 45C147053600258, 45C148053803076"
