Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
4,"215, 330, 510, 515",51,"00290A005 09547, 00670A052 01539, 00765A019 12120, 014715622000013, 02897A340 02892, 03379 370 00021, 03495A005 11625, 039C22260000424, 039C48612000451, 043B13000000010, 06096 000 00050, 06283 000 00333, 06331 000 00109, 06340 009 00272, 06598A413 00570, 09469 A14 00042, 09875 009 29545, 09C36AA11 00263, 11517 020 00032, 11525 000, 11720 000, 11726 000, 11729 000, 11751 000, 12781 003400447, 13777B408900010, 16107 786 00384, 16720 005 11667, 17C10 B29 00154, 17C18 C23 00300, 17C29 D30 00025, 17C35 E19 00100, 17C52 252 00060, 18475 20A 00016, 18970 119700043, 18C005053101150, 18C15A121101380, 19672 000 00000, 20185 000 00000, 20637 363500075, 21C15 663 00250, 351205351200010, 35B001    00000, 39C232246000145, 39C233246000259, 39C438436600679, 40013 000, 40030 000 00009, 40031 000 00011, 45C1361057 0390, 57C17 564 00045"
6,"219, 225, 310, 330, 510, 515",51,"00240C005 11254, 02842A012 05651, 02891A340 02358, 03595B442 02234, 03603A048 06254, 04393A450 00526, 069C13067002350, 12417 033000135, 15701A061201716, 19987 118600060, 21283 C13000163, 21527 507 00137, 21743 000 00001, 21744 777 00010, 22062 C11400291, 23B010000000000, 320010320000089, 358205358200010, 37C0252-1400110, 39C152186600176, 39C15A250000536, 39C216219200312, 39C217219400013, 39C218219800016, 39C221221200101, 39C256274500021, 39C257274500109, 39C28A407800693, 39C333345800130, 39C334345800143, 39C361362500090, 39C364362500649, 39C365363100043, 39C367363200005, 39C368363500103, 39C369363500169, 39C371363500260, 39C413408200473, 39C41A213000673, 39C434434000026, 39C601601400027, 39C604602800020, 39C606605000020, 39C608607500178, 39C611607500401, 39C641628000433, 39C642628200030, 53C087075900081, 53C088075900105, 671393050200160, 72229A072200297"
9,"12, 109, 205, 215, 234, 306, 310, 331, 510",46,"009360174100032, 01577A016 04612, 01786A006 34058, 02474B004 25252, 07971A006 37218, 08071 162 00403, 08073 162 00544, 08443 001 19198, 08498E006 23795, 08498W006 23795, 08528 006 33067, 08528A006 33067, 08611 002 04440, 08611W002 04440, 08692 002 03712, 08697 225 00225, 08746N001 01329, 08805 002C08551, 08821 022 00047, 08844 227 00469, 08934 002 09714, 08993 004 03552, 08994 004 03525, 09066E227 00671, 09066W227 00671, 09197 002 14860, 09208 227 00500, 09232 002 10978, 09232A002 10978, 09259 001 00536, 09285 001C13514, 09307 002 15175, 09307A002 15175, 09332 006 33576, 09337 001 07660, 09339 001 07603, 09345 047 06834, 09352 001 08080, 09352A001 08080, 09440 001 07193, 09440A001 07193, 09453 992 01984, 09460 069 00392, 09559 009 21323, 15456A412 00044, 20558 000 00000"
5,"215, 306, 330, 510, 515",43,"00474B054 00627, 00475A054 00660, 01043A005 15054, 01046A005 14430, 01069A000 00066, 02457A390 00907, 04019A229 01224, 04289A212 00264, 04780A334 00355, 06618 000 00066, 06688A062 00331, 14191A251 00408, 14506A000, 14507A000, 14575A000, 16066 071 02479, 16163 000 00332, 16182 272 03594, 16218 515 00181, 17324 004 13533, 18165 103 00632, 19C309013000024, 21911 121700100, 22384 C74 00100, 22471 000 00067, 22565 000 00000, 23830 000 00000, 24074 241 00090, 25B023 00 00000, 25B024 00 00000, 33002 406 00261, 37C0023-1200330, 37C0033-1200371, 37C0043-1200380, 37C0053-1200447, 37C0063-1200497, 53C019000700431, 53C125A96300678, 53C126A96300702, 53C127096300726, 59C053345500089, BB001 000000000, BB002 000000000"
8,"215, 225, 234, 306, 310, 330, 510, 515",40,"013906345500233, 014790213900020, 12079 60301 024, 15408A0146  807, 17398 051 00499, 17399 051 00417, 17475 412700002, 17483 153 00295, 17997 119000100, 18006 000 00040, 18174 858, 18405 427200033, 18604 514200085, 18669 109701488, 18682 602800187, 18683 413200186, 18684 413200192, 18763 415700010, 19068 830 00170, 19862 000 00250, 19972 094200180, 19C273  64  063, 19C276  55  303, 19C329000301111, 200760000000030, 21279 000 00014, 21964 000 00002, 39C319   17S4W4, 39C325344300238, 39C377364500023, 39C425425400174, 39C426426400013, 39C502502000173, 39C503502000257, 39C529507000571, 671264064100510, 671290052300000, 671303A68300250, 671315108400118, 67T009920700000"
8,"12, 109, 205, 215, 234, 306, 310, 331",39,"01515A610101250, 05379A634 00000, 08250 001 20705, 08689B227 00336, 08689C227 00335, 08689D227 00348, 08689E227 00348, 08736 001 01856, 08739 001 01670, 08852 001C14683, 08965E227 00171, 09259A001 00532, 09324 069 01064, 09327 069 01098, 09348 001C 8614, 09372 001C09582, 09386 171 00389, 09578 006 19516, 09578A006 19516, 11377A858 00036, 12848A759 00367, 13478 140 03862, 16845 025Y00015, 17121 000 00000, 19230 006 25724, 20127 001200390, 20128 001B00440, 20231 033 01407, 20232 033 01424, 20252 039 02466, 20380 858 00579, 20381 858 01153, 20382 312002405, 20623 270001305, 20765 000 00428, 20871 028 05994, 21292 010 01786, 33C15 556000479, 471111000 16968"
3,"241, 330, 515",32,"00493 066 04571, 02481A058 00304, 03C18 000, 04168 027 00235, 04745 052 07668, 07071 450Y02048, 07813 789 00334, 0M015 019 12552, 0M364 012 05586, 17411 012 01432, 17431 052 02832, 17461 066 03049, 17937 052 04735, 18085 115 00540, 18098 052 07535, 19061 120 00249, 19135 070 00051, 19582 000 00000, 19857 135 00014, 19C199 107  141, 20518 335 00093, 21094 000 00000, 22534 091 04975, 24288 333500000, 40004 000 00000, 40005 000, 40007 000, 40008 000, 40012 000 00676, 40014 000 00083, 40017 000 00647, BC007 000000000"
8,"16, 110, 205, 215, 234, 306, 331, 510",32,"00412A060 01083, 00413 060 01221, 00505 009 06348, 01349 060 01136, 01503 028, 01506 028, 02027A047 03493, 02382A009 30956, 03780 273 00363, 03781 273 00470, 05285A018 00196, 06567 000 00025, 06837 01W 12599, 06886 004 24754, 07271 200 02549, 07640 001 15079, 07644A001 14821, 07830A001 17441, 07954 001C10678, 08076 162 00888, 08369 062 01824, 08382 060  1458, 08401B068C00037, 08473 162 00282, 08554 062 02766, 08556 062 02798, 08689A227C00337, 08843 035 02348, 12069A000, 470226000, 53C012075700290, 53C071067400001"
8,"31, 111, 216, 228, 235, 330, 510, 515",32,"03C12 000, 03C25 000000000, 06115 000   500, 06163 000, 06167 000 00360, 06168 000 00385, 12086 60202 562, 14166A000 00090, 14411 000 00070, 18C017121100520, 18C020087600231, 18C16A121101300, 18C21AB30400064, 18C26A122400044, 25C04 C404 1345, 35C123062400110, 35C206133300411, 35C211090400090, 671220129900000, 671228104400350, 671232096300090, 671237102900040, 671263064100540, 671265064100500, 671296073100070, 671309048500040, 671311152000085, 671323091400070, 671374056700001, 671381000800001, 671382C17700110, 67T006000000000"
4,"241, 330, 510, 515",30,"01C046B22 00345, 01C047B22 00356, 02741 041 01057, 07T05 000000265, 07T06 000 00000, 09C04AC32 00223, 12C20 065 00310, 18519 453 00159, 18650 580025491, 18718 187180000, 18719 000000000, 18C013 52004, 18C014 52005, 19091 000 00000, 19136 000 00000, 19607 108900020, 20325 211 00000, 21751 000 00000, 29C249821 00323, 29C84 660 00018, 322006322000065, 35C380 88800370, 40006 000, 40010 000, 40011 000 00076, 40015 000 00005, 40016 000 00074, 520006520000045, 555010555000020, 580020580000250"
