node,selected_hi,confidence
0,superstructure,0.7862433791160583
1,BHI_aggregate,0.9999902248382568
2,substructure,1.0
3,bearings,0.6594473123550415
4,substructure,1.0
5,substructure,1.0
6,substructure,1.0
7,superstructure,0.9288699626922607
8,bearings,0.9996989965438843
9,substructure,1.0
10,bearings,0.9529498815536499
11,bearings,0.510463535785675
12,substructure,1.0
13,bearings,0.7961033582687378
14,bearings,0.9072765111923218
15,superstructure,0.7842570543289185
16,substructure,1.0
17,bearings,0.8717393279075623
18,substructure,1.0
19,substructure,0.5579884052276611
20,bearings,0.6850131154060364
21,substructure,0.9999991655349731
22,substructure,0.9832934141159058
23,substructure,1.0
24,substructure,0.9999581575393677
25,substructure,1.0
26,bearings,0.8386902809143066
27,bearings,0.9817302227020264
28,substructure,0.9999998807907104
29,bearings,0.8511649966239929
30,substructure,0.8834676742553711
31,bearings,0.9878330230712891
32,substructure,0.9999994039535522
33,substructure,1.0
34,substructure,0.999267041683197
35,bearings,0.796262800693512
36,bearings,0.7278599739074707
37,substructure,0.9976003766059875
38,bearings,0.7512043714523315
39,substructure,0.9986793398857117
40,substructure,0.9999876022338867
41,bearings,0.7806018590927124
42,substructure,0.9986048340797424
43,bearings,0.7557579278945923
44,bearings,0.944975733757019
45,bearings,0.7807194590568542
46,substructure,0.9960047602653503
47,superstructure,0.7784832715988159
48,bearings,0.7174581289291382
49,bearings,0.7633579969406128
50,substructure,0.9996770620346069
51,bearings,0.8007527589797974
52,superstructure,0.5989315509796143
53,bearings,0.7561178207397461
54,bearings,0.6935551762580872
55,bearings,0.6222593784332275
56,superstructure,0.5698925852775574
57,bearings,0.9759742617607117
58,substructure,0.998478353023529
59,bearings,0.7163195610046387
60,substructure,0.994966447353363
61,bearings,0.7607618570327759
62,substructure,0.9718290567398071
63,bearings,0.9982256293296814
64,substructure,1.0
65,bearings,0.9984706044197083
66,substructure,1.0
67,substructure,0.9995260238647461
68,substructure,1.0
69,superstructure,0.8998733162879944
70,substructure,0.99912029504776
71,bearings,0.7124553322792053
72,substructure,1.0
73,substructure,0.9337464570999146
74,substructure,0.9987590312957764
75,superstructure,0.9829680323600769
76,substructure,0.995692789554596
77,bearings,0.587822675704956
78,substructure,0.9930175542831421
79,bearings,0.9867873191833496
80,substructure,0.9999996423721313
81,bearings,0.7753465175628662
82,substructure,0.9989526271820068
83,bearings,0.7358096837997437
84,substructure,0.9993846416473389
85,substructure,0.9986156225204468
86,substructure,0.47203928232192993
87,bearings,0.6528404355049133
88,substructure,0.8272982239723206
89,bearings,0.7066019773483276
90,bearings,0.8576409220695496
91,substructure,1.0
92,substructure,0.9637826681137085
93,bearings,0.6580983400344849
94,bearings,0.6587134599685669
95,substructure,1.0
96,substructure,0.9901596903800964
97,substructure,0.9999997615814209
98,superstructure,0.7372453808784485
99,bearings,0.8063689470291138
100,substructure,0.973214328289032
101,substructure,0.9371646046638489
102,substructure,0.9991255402565002
103,substructure,1.0
104,bearings,0.9358084797859192
105,bearings,0.5926731824874878
106,bearings,0.7395385503768921
107,substructure,0.998817503452301
108,substructure,0.999232292175293
109,bearings,0.7067408561706543
110,substructure,0.9872252345085144
111,bearings,0.999941349029541
112,substructure,0.7802380919456482
113,bearings,0.891414999961853
114,bearings,0.8209149241447449
115,substructure,0.9999946355819702
116,substructure,0.8513262867927551
117,substructure,0.9960684776306152
118,bearings,0.678469181060791
119,bearings,0.8954536318778992
120,substructure,0.9309292435646057
121,substructure,0.7936909198760986
122,substructure,0.9462282657623291
123,bearings,0.9001152515411377
124,substructure,0.9927780032157898
125,bearings,0.6552808880805969
126,bearings,0.7578349113464355
127,bearings,0.8135802745819092
128,substructure,0.9998983144760132
129,superstructure,0.8501049876213074
130,bearings,0.917665421962738
131,substructure,1.0
132,substructure,0.9999938011169434
133,substructure,0.9999650716781616
134,bearings,0.6617643237113953
135,substructure,1.0
136,substructure,1.0
137,substructure,0.9999995231628418
138,substructure,0.999723494052887
139,bearings,0.6940615177154541
140,bearings,0.9289835095405579
141,bearings,0.6804815530776978
142,bearings,0.7200407981872559
143,bearings,0.638499915599823
144,substructure,0.9999890327453613
145,bearings,0.9994874000549316
146,bearings,0.7188685536384583
147,BHI_aggregate,0.44037073850631714
148,bearings,0.6984794735908508
149,substructure,0.9868006706237793
150,bearings,0.7045208215713501
151,substructure,0.8913486003875732
152,substructure,0.9976193308830261
153,bearings,0.9780410528182983
154,substructure,0.8956552147865295
155,bearings,0.7390239834785461
156,bearings,0.7031649947166443
157,substructure,0.9994899034500122
158,bearings,0.5096879601478577
159,bearings,0.9712674617767334
160,substructure,0.9979192614555359
161,bearings,0.6701496243476868
162,bearings,0.6993069648742676
163,substructure,0.9999997615814209
164,substructure,0.5614874362945557
165,bearings,0.755673885345459
166,superstructure,0.33410048484802246
167,superstructure,0.8864428997039795
168,substructure,0.9996966123580933
169,bearings,0.525180995464325
170,bearings,0.7871115207672119
171,substructure,0.9620290994644165
172,bearings,0.9124224185943604
173,bearings,0.7803214192390442
174,bearings,0.6384926438331604
175,bearings,0.8106247782707214
176,bearings,0.7640155553817749
177,bearings,0.7358087301254272
178,substructure,0.9963682889938354
179,bearings,0.7181727290153503
180,bearings,0.8310829401016235
181,bearings,0.7857717275619507
182,substructure,0.978611409664154
183,bearings,0.7769235968589783
184,bearings,0.849381685256958
185,substructure,0.9922260046005249
186,substructure,0.9717406034469604
187,bearings,0.6880526542663574
188,bearings,0.371341735124588
189,bearings,0.7710946798324585
190,bearings,0.5154976844787598
191,substructure,1.0
192,bearings,0.6649228930473328
193,substructure,0.9998718500137329
