node,selected_hi,confidence
0,bearings,0.8228611946105957
1,bearings,0.258379727602005
2,substructure,0.9763570427894592
3,bearings,0.6473677158355713
4,substructure,0.8058632016181946
5,substructure,0.9993402361869812
6,substructure,0.330681711435318
7,bearings,0.9918266534805298
8,bearings,0.3259706497192383
9,BHI_aggregate,0.523445188999176
10,bearings,0.4242210388183594
11,bearings,0.5088831186294556
12,BHI_aggregate,0.5325640439987183
13,bearings,0.5572646856307983
14,bearings,0.38025835156440735
15,bearings,0.8682266473770142
16,BHI_aggregate,0.5496608018875122
17,bearings,0.4405115246772766
18,substructure,0.5224318504333496
19,bearings,0.4547005295753479
20,substructure,0.2860049903392792
21,substructure,0.5425435900688171
22,substructure,0.4945306181907654
23,substructure,0.8671182990074158
24,substructure,0.7678937315940857
25,substructure,0.48679447174072266
26,bearings,0.4428398907184601
27,deck,0.4149368703365326
28,substructure,0.642989456653595
29,superstructure,0.35084179043769836
30,substructure,0.39747217297554016
31,bearings,0.8494139313697815
32,BHI_aggregate,0.616439938545227
33,BHI_aggregate,0.6994084119796753
34,substructure,0.747983455657959
35,bearings,0.832252025604248
36,bearings,0.4955638349056244
37,deck,0.2345641851425171
38,bearings,0.49127355217933655
39,substructure,0.5672059059143066
40,substructure,0.5688400268554688
41,bearings,0.564015805721283
42,substructure,0.6841181516647339
43,bearings,0.48403218388557434
44,deck,0.37417885661125183
45,bearings,0.4464646279811859
46,substructure,0.6669054627418518
47,bearings,0.47875434160232544
48,bearings,0.4699780344963074
49,bearings,0.579497754573822
50,substructure,0.4801676273345947
51,superstructure,0.45474058389663696
52,substructure,0.5003957748413086
53,superstructure,0.4763202369213104
54,bearings,0.45009031891822815
55,bearings,0.6853736639022827
56,superstructure,0.41076603531837463
57,substructure,0.4493369162082672
58,substructure,0.7832231521606445
59,bearings,0.5148447751998901
60,substructure,0.6087837815284729
61,bearings,0.4147402346134186
62,substructure,0.541333794593811
63,bearings,0.9810113906860352
64,BHI_aggregate,0.5685645341873169
65,superstructure,0.3694798946380615
66,substructure,0.7529494166374207
67,BHI_aggregate,0.5545043349266052
68,BHI_aggregate,0.7317515015602112
69,bearings,0.37801432609558105
70,substructure,0.772206723690033
71,bearings,0.7428403496742249
72,substructure,0.9271602034568787
73,superstructure,0.36972230672836304
74,substructure,0.7961398363113403
75,bearings,0.42012354731559753
76,substructure,0.7086141705513
77,bearings,0.5082806348800659
