train_batch,train_reward_normalized
0,2.7664482593536377
1,2.893345355987549
2,3.013005256652832
3,3.111008405685425
4,3.229779303073883
5,3.3045247197151184
6,3.3699172735214233
7,3.4368640184402466
8,3.5079175233840942
9,3.5591894388198853
10,3.609914481639862
11,3.653658926486969
12,3.6887848377227783
13,3.7159860134124756
14,3.748132884502411
15,3.773878812789917
16,3.8033518195152283
17,3.8294941186904907
18,3.8600531220436096
19,3.8787713646888733
20,3.905375599861145
21,3.9417999982833862
22,3.9604049921035767
23,3.9886587858200073
24,4.005149304866791
25,4.0283045172691345
26,4.054077863693237
27,4.073685109615326
28,4.095199108123779
29,4.1151973605155945
30,4.124033153057098
31,4.129706621170044
32,4.134202003479004
33,4.135489761829376
34,4.136112332344055
35,4.136713743209839
36,4.136861860752106
37,4.136971533298492
38,4.137004911899567
39,4.137016236782074
40,4.137016236782074
41,4.137008786201477
42,4.137016236782074
43,4.137016236782074
44,4.137016236782074
45,4.137016236782074
46,4.137016236782074
47,4.137016236782074
48,4.137016236782074
49,4.137016236782074
50,4.137016236782074
51,4.137008786201477
52,4.137016236782074
53,4.137016236782074
54,4.137016236782074
55,4.137016236782074
56,4.137016236782074
57,4.137016236782074
58,4.137016236782074
59,4.137016236782074
60,4.137016236782074
61,4.137008786201477
62,4.137016236782074
63,4.137016236782074
64,4.137016236782074
65,4.137016236782074
66,4.137016236782074
67,4.137016236782074
68,4.137016236782074
69,4.137016236782074
70,4.137016236782074
71,4.137008786201477
72,4.137016236782074
73,4.137016236782074
74,4.137016236782074
75,4.137016236782074
76,4.137016236782074
77,4.137016236782074
78,4.137016236782074
79,4.137016236782074
80,4.137016236782074
81,4.137008786201477
82,4.137016236782074
83,4.137016236782074
84,4.137016236782074
85,4.137016236782074
86,4.137016236782074
87,4.137016236782074
88,4.137016236782074
89,4.137016236782074
90,4.137016236782074
91,4.137008786201477
92,4.137016236782074
93,4.137016236782074
94,4.137016236782074
95,4.137016236782074
96,4.137016236782074
97,4.137016236782074
98,4.137016236782074
99,4.137016236782074
