train_batch,train_reward_normalized
0,-2.984444797039032
1,-0.7671025581657887
2,1.3471640646457672
3,5.152672901749611
4,7.197093963623047
5,9.345253556966782
6,11.100242286920547
7,12.778343260288239
8,13.596585392951965
9,14.246590435504913
10,15.81428200006485
11,16.486625373363495
12,16.241730749607086
13,18.06233525276184
14,18.48936676979065
15,19.954386353492737
16,20.042642951011658
17,21.34149819612503
18,21.721886098384857
19,22.736017405986786
20,23.367859423160553
21,24.22998696565628
22,24.917511641979218
23,24.68111366033554
24,24.91837441921234
25,25.597864389419556
26,25.928208231925964
27,26.338672637939453
28,26.26928985118866
29,26.48957371711731
30,26.471787691116333
31,26.453417539596558
32,26.479393243789673
33,26.2103408575058
34,26.708519458770752
35,27.136126160621643
36,27.177762985229492
37,27.09912657737732
38,27.14996337890625
39,27.09580957889557
40,27.03675925731659
41,27.121180295944214
42,27.51341164112091
43,27.37768590450287
44,27.46136784553528
45,27.491703629493713
46,27.63977348804474
47,27.753356099128723
48,27.605274319648743
49,27.911004424095154
50,27.828389406204224
51,28.109395503997803
52,28.08399498462677
53,28.085535764694214
54,28.26666831970215
55,28.202742338180542
56,28.235960006713867
57,28.082844614982605
58,28.055045008659363
59,28.053975105285645
60,27.844741940498352
61,27.833491563796997
62,28.12463939189911
63,28.386837244033813
64,28.29880714416504
65,28.224816918373108
66,28.138649463653564
67,28.292015194892883
68,28.29536199569702
69,28.18485200405121
70,27.984991669654846
71,28.168076276779175
72,27.99496054649353
73,27.85874307155609
74,27.94271409511566
75,27.97805368900299
76,28.09256911277771
77,28.024637699127197
78,28.125250339508057
79,28.160688281059265
80,28.08331549167633
81,28.226852416992188
82,28.294983506202698
83,28.34072709083557
84,28.143319487571716
85,28.215360641479492
86,28.19613218307495
87,28.24787199497223
88,28.086620569229126
89,28.048765659332275
90,28.056445717811584
91,28.18680703639984
92,28.038012981414795
93,27.999737858772278
94,27.940425276756287
95,27.8142511844635
96,28.01051437854767
97,28.059956431388855
98,27.795183658599854
99,27.820566296577454
