batch,reward
0,-3.7421829998493195
1,-3.5509228706359863
2,-3.228478878736496
3,-3.151772916316986
4,-2.8937192633748055
5,-2.7976172044873238
6,-2.5669485330581665
7,-2.334725111722946
8,-2.0563408732414246
9,-1.888316124677658
10,-1.6452819108963013
11,-1.607155054807663
12,-1.3901129364967346
13,-1.2900295667350292
14,-1.117414515465498
15,-1.0534756816923618
16,-1.061080489307642
17,-0.998308602720499
18,-0.8958472870290279
19,-0.848693773150444
20,-0.831987801939249
21,-0.826244056224823
22,-0.7304772734642029
23,-0.7465502712875605
24,-0.7466585375368595
25,-0.7399969268590212
26,-0.6800835952162743
27,-0.6654893513768911
28,-0.6498167291283607
29,-0.6920760963112116
30,-0.6408612709492445
31,-0.6363163236528635
32,-0.6386772729456425
33,-0.6348167080432177
34,-0.64253737218678
35,-0.6147664971649647
36,-0.584919610992074
37,-0.5917456466704607
38,-0.5937469657510519
39,-0.6002957001328468
40,-0.5749119445681572
41,-0.583354476839304
42,-0.5680844653397799
43,-0.59130541048944
44,-0.5959358066320419
45,-0.5854615941643715
46,-0.5704766139388084
47,-0.6182242650538683
48,-0.6029501557350159
49,-0.5892616230994463
50,-0.609608506783843
51,-0.5710106808692217
52,-0.5738296546041965
53,-0.6125895772129297
54,-0.5800633225589991
55,-0.5847146268934011
56,-0.6049027666449547
57,-0.5872585345059633
58,-0.5870725493878126
59,-0.5769911222159863
60,-0.5422566086053848
61,-0.585893914103508
62,-0.5870257504284382
63,-0.5671004299074411
64,-0.5671962630003691
65,-0.565263768658042
66,-0.5497967358678579
67,-0.5717085674405098
68,-0.5561891011893749
69,-0.5587663501501083
70,-0.5581842735409737
71,-0.5602291319519281
72,-0.5673539824783802
73,-0.5499252583831549
74,-0.5615036934614182
75,-0.5765375681221485
76,-0.559864891692996
77,-0.5634743254631758
78,-0.5357109010219574
79,-0.5593673326075077
80,-0.5702045280486345
81,-0.571828056126833
82,-0.5535728298127651
83,-0.5787922069430351
84,-0.5595287773758173
85,-0.5690074060112238
86,-0.5729779601097107
87,-0.5600997246801853
88,-0.5739235784858465
89,-0.5653851199895144
90,-0.5647969897836447
91,-0.5533626303076744
92,-0.5655684974044561
93,-0.5711609032005072
94,-0.5664617754518986
95,-0.5537807941436768
96,-0.5522766150534153
97,-0.5679122637957335
98,-0.5510876886546612
99,-0.5608110222965479
