new_leaf_no,original_leaf_no,action_key,action_name,visits,visit_pct,mean_reward_when_visited
0,0,1,Replace B,200000,100.0,50461.682493063374
1,128,3,Replace D + B,0,0.0,
2,129,2,Replace D,0,0.0,
3,192,0,Do nothing,0,0.0,
4,193,2,Replace D,0,0.0,
5,195,1,Replace B,0,0.0,
