new_leaf_no,original_leaf_no,action_key,action_name,visits,visit_pct,mean_reward_when_visited
0,0,1,Replace B,200000,100.0,119942.87148376465
1,128,3,Replace D + B,0,0.0,
2,129,2,Replace D,0,0.0,
3,195,5,Full bridge replacement,0,0.0,
4,200,1,Replace B,0,0.0,
