batch,reward
0,15.99915474653244
1,16.019098460674286
2,16.05450063943863
3,16.104692220687866
4,16.152390837669373
5,16.589443385601044
6,16.817253828048706
7,16.83124303817749
8,17.034871876239777
9,17.24667251110077
10,17.355719208717346
11,17.342710494995117
12,17.70167052745819
13,17.858195304870605
14,18.12557280063629
15,18.419426679611206
16,18.728992342948914
17,19.09821778535843
18,19.13629025220871
19,19.54268515110016
20,19.742248952388763
21,19.856758415699005
22,20.38448303937912
23,20.452412962913513
24,20.833395421504974
25,20.8398699760437
26,21.053579449653625
27,21.240942180156708
28,21.503569185733795
29,21.692216396331787
30,22.04015851020813
31,22.2809299826622
32,22.188769280910492
33,22.146935760974884
34,22.533851861953735
35,22.47479557991028
36,22.60395437479019
37,22.75843322277069
38,22.72336483001709
39,22.78105765581131
40,22.866304218769073
41,22.8792205452919
42,23.118656873703003
43,22.841256856918335
44,23.04290235042572
45,23.159056901931763
46,23.198437690734863
47,23.248638212680817
48,23.27754944562912
49,23.404675722122192
50,23.2109472155571
51,23.413150012493134
52,23.29595237970352
53,23.25970232486725
54,23.224863409996033
55,23.31373542547226
56,23.32545667886734
57,23.32427203655243
58,23.385360836982727
59,23.22213351726532
60,23.4209343791008
61,23.38222861289978
62,23.501896858215332
63,23.253843188285828
64,23.424385488033295
65,23.365402221679688
66,23.36544394493103
67,23.39676022529602
68,23.271706700325012
69,23.341508209705353
70,23.56511950492859
71,23.348061740398407
72,23.487065732479095
73,23.480385541915894
74,23.312470316886902
75,23.471146821975708
76,23.46981018781662
77,23.234611749649048
78,23.61217588186264
79,23.364494740962982
80,23.540838062763214
81,23.75476509332657
82,23.388175666332245
83,23.5609769821167
84,23.570841550827026
85,23.51272404193878
86,23.664431273937225
87,23.62634837627411
88,23.548300564289093
89,23.61530214548111
90,23.698769509792328
91,23.560786247253418
92,23.60212653875351
93,23.524843156337738
94,23.65594506263733
95,23.73012751340866
96,23.500190675258636
97,23.615531623363495
98,23.750610649585724
99,23.450961709022522
100,23.562529683113098
101,23.851440846920013
102,23.66764396429062
103,23.535631597042084
104,23.80017787218094
105,23.69024157524109
106,23.779943585395813
107,23.447847366333008
108,23.637104034423828
109,23.59638214111328
110,23.70111048221588
111,23.374800384044647
112,23.63729476928711
113,23.540961742401123
114,23.734989762306213
115,23.683878779411316
116,23.772019147872925
117,23.613202571868896
118,23.67277890443802
119,23.820820450782776
120,23.840759694576263
121,23.52709472179413
122,23.696738481521606
123,23.83207082748413
124,23.695078492164612
125,23.63109141588211
126,23.584848642349243
127,23.70576411485672
128,23.694026470184326
129,23.468908667564392
130,23.470839858055115
131,23.669180274009705
132,23.553432524204254
133,23.610447347164154
134,23.599208891391754
135,23.666779696941376
136,23.720376193523407
137,23.647485673427582
138,23.7252414226532
139,23.79414290189743
140,23.548617959022522
141,23.73860776424408
142,23.904208838939667
143,23.621845245361328
144,23.7501323223114
145,23.715685307979584
146,23.73085916042328
147,23.596201837062836
148,23.67357164621353
149,23.745959997177124
150,23.688991367816925
151,23.74560832977295
152,24.040305614471436
153,23.779919743537903
154,23.796838521957397
155,23.705171048641205
156,23.84057193994522
157,23.78528267145157
158,23.51670116186142
159,23.755326867103577
160,23.748600482940674
161,23.830273747444153
162,23.597460985183716
163,23.741482198238373
164,23.747532069683075
165,23.737864196300507
166,23.732341825962067
167,23.763549327850342
168,23.558278381824493
169,23.723463714122772
170,23.65225851535797
171,23.86423796415329
172,23.664839565753937
173,23.666870594024658
174,23.512455821037292
175,23.800505697727203
176,23.83643090724945
177,23.940788209438324
178,23.812958598136902
179,23.613174259662628
180,23.794619739055634
181,23.765957355499268
182,23.6222043633461
183,23.696601390838623
184,23.89882057905197
185,23.80756288766861
186,23.831135034561157
187,23.70317131280899
188,23.867827653884888
189,23.84864240884781
190,23.773805797100067
191,23.739416897296906
192,23.67502897977829
193,23.862485587596893
194,23.770344257354736
195,23.89470487833023
196,23.855552077293396
197,23.70033711194992
198,23.633430898189545
199,23.72322976589203
200,23.459748923778534
201,23.759153485298157
202,23.82071018218994
203,23.736877739429474
204,23.806005716323853
205,23.81521910429001
206,23.673591017723083
207,23.578354716300964
208,23.814521729946136
209,23.833122849464417
210,23.69072288274765
211,23.64197075366974
212,23.73936027288437
213,23.90509694814682
214,23.531711101531982
215,23.625004291534424
216,23.812004923820496
217,23.90485405921936
218,23.88588935136795
219,23.666714131832123
220,23.831234872341156
221,23.697109520435333
222,23.971419036388397
223,23.64717274904251
224,23.77910166978836
225,23.75562936067581
226,23.948252201080322
227,23.658059537410736
228,23.89473170042038
229,23.703208565711975
230,23.79390597343445
231,23.680566251277924
232,23.69750738143921
233,23.798300325870514
234,23.826606571674347
235,23.765410482883453
236,23.877166211605072
237,23.761919140815735
238,23.77345710992813
239,23.71774911880493
240,23.698344826698303
241,23.817119002342224
242,23.679108917713165
243,23.78670424222946
244,23.68323802947998
245,23.69823455810547
246,23.747678101062775
247,23.605068027973175
248,23.828740417957306
249,23.698867857456207
