node,selected_hi,confidence
0,bearings,0.5894491076469421
1,bearings,0.7628353834152222
2,substructure,0.9573096632957458
3,superstructure,0.560206413269043
4,superstructure,0.3823149800300598
5,deck,0.5916532874107361
6,deck,0.5030352473258972
7,substructure,0.6639246940612793
8,BHI_aggregate,0.523874044418335
9,BHI_aggregate,0.5273862481117249
10,substructure,0.39016759395599365
11,bearings,0.5769280791282654
12,substructure,0.5028373599052429
13,bearings,0.4145393669605255
14,substructure,0.7266205549240112
15,superstructure,0.6184365153312683
16,bearings,0.5972268581390381
17,substructure,0.9883028864860535
18,superstructure,0.4389496147632599
19,substructure,0.5428929328918457
20,substructure,0.5085674524307251
21,substructure,0.5039652585983276
22,substructure,0.8117119073867798
23,substructure,0.5972062349319458
24,substructure,0.7180725932121277
25,bearings,0.4660845696926117
26,bearings,0.4333146810531616
27,deck,0.24481375515460968
28,bearings,0.3935762345790863
29,substructure,0.7539947628974915
30,deck,0.4086611568927765
31,bearings,0.5708877444267273
32,deck,0.27316805720329285
33,superstructure,0.49269771575927734
34,bearings,0.47954604029655457
35,substructure,0.4788336455821991
36,deck,0.6687107086181641
37,bearings,0.47108227014541626
38,substructure,0.5714394450187683
39,superstructure,0.465725302696228
40,bearings,0.5452293157577515
41,bearings,0.6206479072570801
42,substructure,0.49424082040786743
43,substructure,0.5495356321334839
44,bearings,0.4505578577518463
45,substructure,0.6305667161941528
46,bearings,0.44717836380004883
47,substructure,0.5048730373382568
48,deck,0.6146783828735352
49,substructure,0.6191267967224121
50,bearings,0.24012573063373566
51,bearings,0.49758556485176086
52,substructure,0.26383328437805176
53,deck,0.2550066113471985
54,substructure,0.572601318359375
55,superstructure,0.41521650552749634
56,substructure,0.4327142834663391
57,superstructure,0.3752705752849579
58,substructure,0.5934048295021057
59,bearings,0.48543769121170044
60,deck,0.30321720242500305
61,substructure,0.4844622313976288
62,bearings,0.4314977824687958
