batch,reward
0,-1.9181430339813232
1,-1.908489502966404
2,-1.3084839098155499
3,-1.1482493951916695
4,-0.9470087476074696
5,-0.5957819987088442
6,-0.20714991260319948
7,0.3923996351659298
8,0.7867553271353245
9,1.3434902764856815
10,1.7321350052952766
11,2.521633356809616
12,3.1891625374555588
13,3.1685061752796173
14,3.937215358018875
15,4.606623947620392
16,5.078438296914101
17,5.844447389245033
18,6.1149559915065765
19,6.6765159368515015
20,7.41228386759758
21,8.094771951436996
22,8.524593710899353
23,8.928057551383972
24,9.606781601905823
25,9.867969900369644
26,10.637783259153366
27,10.848300904035568
28,11.5870900452137
29,11.455434560775757
30,11.782773584127426
31,12.152967602014542
32,12.312312424182892
33,12.548665702342987
34,12.926875054836273
35,13.10020536184311
36,13.349319994449615
37,13.253436982631683
38,13.500742614269257
39,13.673312962055206
40,13.951385021209717
41,13.79992812871933
42,13.803136348724365
43,13.92279714345932
44,14.21303004026413
45,14.011584222316742
46,13.843965530395508
47,14.123906195163727
48,13.76749873161316
49,14.07296508550644
50,13.938423991203308
51,14.18721079826355
52,14.119373261928558
53,14.171630144119263
54,14.2319455742836
55,14.266769587993622
56,14.081509411334991
57,14.26534503698349
58,14.379067718982697
59,14.403153955936432
60,14.20089304447174
61,14.340223371982574
62,14.325675368309021
63,14.463603496551514
64,14.37150090932846
65,14.517904818058014
66,14.191751182079315
67,14.57417607307434
68,14.431239664554596
69,14.907640218734741
70,14.295360445976257
71,14.42689597606659
72,14.408424496650696
73,14.59166556596756
74,14.553987979888916
75,14.429281651973724
76,14.582076668739319
77,14.399982988834381
78,14.509397745132446
79,14.565694332122803
80,14.33238536119461
81,14.589764177799225
82,14.302550256252289
83,14.618119597434998
84,14.43488895893097
85,14.446912705898285
86,14.476773142814636
87,14.587527513504028
88,14.525485038757324
89,14.367851614952087
90,14.43679928779602
91,14.515635371208191
92,14.58674818277359
93,14.40294086933136
94,14.366380870342255
95,14.308857917785645
96,14.74829614162445
97,14.265915751457214
98,14.598284661769867
99,14.35643583536148
