train_batch,train_reward_normalized
0,2.389579638838768
1,5.611339956521988
2,8.289161324501038
3,11.225873231887817
4,14.022423326969147
5,16.950663924217224
6,19.319775700569153
7,20.69513648748398
8,22.304005920886993
9,23.66427332162857
10,24.644847214221954
11,25.307920575141907
12,26.22682750225067
13,27.025943994522095
14,27.433305978775024
15,27.46616303920746
16,27.899807691574097
17,27.853858470916748
18,27.87666618824005
19,28.62071394920349
20,28.618884086608887
21,28.77107858657837
22,28.95393669605255
23,29.240569472312927
24,29.611694812774658
25,29.859378933906555
26,29.627999663352966
27,29.743409156799316
28,29.835665225982666
29,29.832807183265686
30,29.64538335800171
31,29.68870997428894
32,29.882636666297913
33,30.06088137626648
34,30.05666434764862
35,30.118057131767273
36,30.140438675880432
37,30.025199055671692
38,30.18319010734558
39,30.29194474220276
40,30.30696213245392
41,30.493268370628357
42,30.389118194580078
43,30.367708206176758
44,30.65434992313385
45,30.445843935012817
46,30.39967715740204
47,30.466365814208984
48,30.543088912963867
49,30.67285418510437
50,30.577927827835083
51,30.555495619773865
52,30.639997124671936
53,30.603739619255066
54,30.61685562133789
55,30.639058351516724
56,30.790618062019348
57,30.869141221046448
58,30.863109230995178
59,30.936241149902344
60,30.80098032951355
61,30.981889367103577
62,30.925005674362183
63,30.931362509727478
64,30.95410168170929
65,30.951711535453796
66,30.89788258075714
67,30.91726303100586
68,30.89936375617981
69,30.908343195915222
70,31.00074827671051
71,30.98297119140625
72,31.110897660255432
73,31.017252802848816
74,30.946895480155945
75,31.002140045166016
76,30.896970629692078
77,30.92055916786194
78,30.825001001358032
79,30.864247679710388
