batch,reward
0,17.485065758228302
1,17.505745589733124
2,17.545035481452942
3,17.473706603050232
4,17.69634336233139
5,17.95671135187149
6,17.652559280395508
7,17.912393808364868
8,18.002259731292725
9,17.990605533123016
10,18.086227774620056
11,18.19653958082199
12,18.124304711818695
13,18.220585584640503
14,18.359172344207764
15,18.493308126926422
16,18.524780869483948
17,18.529324233531952
18,18.469856679439545
19,18.634001910686493
20,18.672367930412292
21,18.921445310115814
22,18.98617148399353
23,18.909001350402832
24,19.045066833496094
25,19.067972898483276
26,19.358178973197937
27,19.25184428691864
28,19.2837193608284
29,19.34323012828827
30,19.32666152715683
31,19.382332265377045
32,19.4338321685791
33,19.499526917934418
34,19.654281437397003
35,19.560246169567108
36,19.47230100631714
37,19.55624222755432
38,19.5788636803627
39,19.643534719944
40,19.710490107536316
41,19.65000033378601
42,19.71639394760132
43,19.680535793304443
44,19.700099527835846
45,19.709476828575134
46,19.6790412068367
47,19.69190239906311
48,19.619515538215637
49,19.712162017822266
50,19.661177694797516
51,19.663599133491516
52,19.73825842142105
53,19.633890688419342
54,19.679194688796997
55,19.655223190784454
56,19.555719196796417
57,19.7282537817955
58,19.80910748243332
59,19.926461577415466
60,19.773302972316742
61,19.853176176548004
62,19.81094926595688
63,19.805140793323517
64,19.79053169488907
65,19.783473014831543
66,19.84868347644806
67,19.708988070487976
68,19.934383034706116
69,19.804058969020844
70,19.761672616004944
71,19.84359323978424
72,19.699053466320038
73,19.7727233171463
74,19.904588162899017
75,19.8505237698555
76,19.766992330551147
77,19.90009695291519
78,19.893154501914978
79,19.791418313980103
80,19.825269281864166
81,19.72147822380066
82,19.864632189273834
83,19.916903972625732
84,19.887177646160126
85,19.767118990421295
86,19.61543709039688
87,20.02725601196289
88,19.870691001415253
89,19.87330913543701
90,19.88476812839508
91,19.93355005979538
92,19.838863611221313
93,19.81123387813568
94,19.885434210300446
95,19.756382703781128
96,19.933147728443146
97,19.83649581670761
98,19.915898144245148
99,19.929495453834534
