node,selected_hi,confidence
0,bearings,0.9885474443435669
1,BHI_aggregate,0.9997568726539612
2,substructure,1.0
3,bearings,0.7486376762390137
4,substructure,1.0
5,substructure,1.0
6,substructure,1.0
7,bearings,0.9942184686660767
8,bearings,0.9974473714828491
9,substructure,1.0
10,bearings,0.6273100972175598
11,bearings,0.746671736240387
12,substructure,1.0
13,bearings,0.668158769607544
14,bearings,0.5259552001953125
15,bearings,0.8550237417221069
16,substructure,1.0
17,bearings,0.5961755514144897
18,substructure,1.0
19,substructure,0.8729758262634277
20,bearings,0.8559765815734863
21,substructure,0.9999957084655762
22,substructure,0.9898968935012817
23,substructure,1.0
24,substructure,0.9999157190322876
25,substructure,1.0
26,bearings,0.7932134866714478
27,bearings,0.9618006348609924
28,substructure,0.9999997615814209
29,bearings,0.9362998604774475
30,substructure,0.9514698386192322
31,bearings,0.9878124594688416
32,substructure,0.9999995231628418
33,substructure,1.0
34,substructure,0.9988924860954285
35,bearings,0.9366958737373352
36,bearings,0.9886981248855591
37,substructure,0.997433602809906
38,bearings,0.7862650156021118
39,substructure,0.9969130754470825
40,substructure,0.9998544454574585
41,bearings,0.6013015508651733
42,substructure,0.9989375472068787
43,bearings,0.7138505578041077
44,bearings,0.6311408281326294
45,bearings,0.7365387678146362
46,substructure,0.9936528205871582
47,bearings,0.7993003129959106
48,bearings,0.7829201817512512
49,bearings,0.9248538017272949
50,substructure,0.9993730187416077
51,deck,0.6426495909690857
52,superstructure,0.5528373718261719
53,bearings,0.67866051197052
54,bearings,0.6020175814628601
55,bearings,0.5545302629470825
56,bearings,0.9509131908416748
57,bearings,0.6827767491340637
58,substructure,0.9980839490890503
59,bearings,0.5740785002708435
60,substructure,0.995858371257782
61,bearings,0.6779681444168091
62,substructure,0.9711123108863831
63,bearings,0.9991095662117004
64,substructure,1.0
65,bearings,0.8434876799583435
66,substructure,1.0
67,substructure,0.9954719543457031
68,substructure,1.0
69,bearings,0.7966095209121704
70,substructure,0.9984277486801147
71,bearings,0.7273851037025452
72,substructure,1.0
73,substructure,0.9101480841636658
74,substructure,0.998207688331604
75,bearings,0.8123840093612671
76,substructure,0.9934853911399841
77,bearings,0.9150203466415405
78,substructure,0.9933547973632812
79,bearings,0.9841380715370178
80,substructure,0.9999997615814209
81,bearings,0.7456538677215576
82,substructure,0.9989970326423645
83,bearings,0.7099201083183289
84,substructure,0.9991264939308167
85,substructure,0.9993058443069458
86,deck,0.4425039291381836
87,bearings,0.7064095735549927
88,substructure,0.3160110116004944
89,bearings,0.5284068584442139
90,bearings,0.6750620007514954
91,substructure,1.0
92,substructure,0.9698576331138611
93,bearings,0.7770083546638489
94,bearings,0.5992104411125183
95,substructure,1.0
96,substructure,0.9864115715026855
97,substructure,1.0
98,bearings,0.9357442855834961
99,bearings,0.9870677590370178
100,substructure,0.9667083621025085
101,substructure,0.8279775381088257
102,substructure,0.9988903403282166
103,substructure,1.0
104,bearings,0.9761383533477783
105,bearings,0.5574955940246582
106,bearings,0.7565907835960388
107,substructure,0.9998815059661865
108,substructure,0.9984782338142395
109,bearings,0.654988169670105
110,substructure,0.9845123291015625
111,bearings,0.9992338418960571
112,substructure,0.523564875125885
113,bearings,0.8183964490890503
114,bearings,0.8375945091247559
115,substructure,0.9998617172241211
116,substructure,0.9279012680053711
117,substructure,0.9978480339050293
118,bearings,0.6382611989974976
119,bearings,0.8052315711975098
120,substructure,0.9398243427276611
121,substructure,0.8375884890556335
122,substructure,0.9220691323280334
123,bearings,0.727685272693634
124,substructure,0.9846257567405701
125,bearings,0.6866517663002014
126,bearings,0.5600345730781555
127,bearings,0.8536622524261475
128,substructure,0.9999997615814209
129,bearings,0.9673730134963989
130,bearings,0.7891768217086792
131,substructure,1.0
132,substructure,0.9999918937683105
133,substructure,0.9999932050704956
134,bearings,0.916458010673523
135,substructure,1.0
136,substructure,1.0
137,substructure,0.999998927116394
138,substructure,0.997432291507721
139,bearings,0.727025032043457
140,bearings,0.7656554579734802
141,bearings,0.7219192385673523
142,bearings,0.6194157600402832
143,bearings,0.6616607904434204
144,substructure,0.9999884366989136
145,bearings,0.978865385055542
146,bearings,0.7328453063964844
147,BHI_aggregate,0.5086669325828552
148,bearings,0.8185320496559143
149,substructure,0.9901697039604187
150,bearings,0.6493500471115112
151,substructure,0.9653096199035645
152,substructure,0.9965586066246033
153,bearings,0.8199229836463928
154,substructure,0.8126614689826965
155,bearings,0.979685366153717
156,bearings,0.689439594745636
157,substructure,0.9988916516304016
158,bearings,0.7858617305755615
159,bearings,0.9456534385681152
160,substructure,0.9953330159187317
