train_batch,train_reward_normalized
0,-2.780608646571636
1,-0.8489430882036686
2,1.6295712441205978
3,4.21750545501709
4,6.220007687807083
5,7.485226541757584
6,9.470982104539871
7,10.709147155284882
8,12.078838795423508
9,13.316227495670319
10,14.902479946613312
11,16.250447928905487
12,17.08439439535141
13,18.259871006011963
14,18.82222294807434
15,20.25745064020157
16,21.14359140396118
17,21.906502544879913
18,22.19630479812622
19,23.102732002735138
20,23.3371764421463
21,23.654183745384216
22,24.24551397562027
23,24.796655774116516
24,25.219911336898804
25,25.220921635627747
26,25.98271369934082
27,26.160097122192383
28,26.501625776290894
29,26.69251263141632
30,26.866835355758667
31,27.141129970550537
32,27.27072238922119
33,27.52853035926819
34,27.783164381980896
35,27.919915318489075
36,28.018376231193542
37,28.050535917282104
38,28.655698895454407
39,28.690418601036072
40,28.66775095462799
41,28.491094708442688
42,28.472182154655457
43,28.575026988983154
44,28.435388207435608
45,28.568994998931885
46,28.526169061660767
47,28.689464926719666
48,28.925219178199768
49,28.624621033668518
50,28.966528177261353
51,29.22447919845581
52,29.255449771881104
53,29.262149333953857
54,29.13478910923004
55,29.300272464752197
56,29.360437393188477
57,29.250559210777283
58,29.346975684165955
59,29.296717047691345
60,29.139307141304016
61,29.238209128379822
62,29.23913598060608
63,29.060745239257812
64,29.11781370639801
65,29.245316982269287
66,28.989320993423462
67,29.231268167495728
68,29.188552498817444
69,29.254120588302612
70,29.341983795166016
71,29.046031832695007
72,29.325520992279053
73,29.155969619750977
74,29.092511534690857
75,29.2671799659729
76,29.096153378486633
77,29.09051477909088
78,29.08262312412262
79,29.25134003162384
