"structure_number","year0","year1","deck0","deck1"
"09007 001 30418",1984,1985,"7","8"
"05290 01EX00386",1984,1985,"6","6"
"08692 002 03712",1984,1985,"8","8"
"02193B002 03783",1984,1985,"7","7"
"08037 002C02503",1984,1985,"8","8"
"08883 001 30622",1984,1985,"7","7"
"09059 123 01243",1984,1985,"8","8"
"06767 026 00099",1984,1985,"6","6"
"02176 002 03512",1984,1985,"8","7"
"02176A002 03512",1984,1985,"5","6"
"09011 001 30398",1984,1985,"8","8"
"05054 026 00077",1984,1985,"7","6"
"01185A003 00400",1984,1985,"8","8"
"09012 001 30388",1984,1985,"8","7"
"09153 01W 00129",1984,1985,"8","8"
"08958 061 00358",1984,1985,"6","6"
"08958B061 00372",1984,1985,"6","6"
"08958D061 00352",1984,1985,"6","6"
"08958E001C30306",1984,1985,"8","7"
"09153R026 00002",1984,1985,"7","8"
"09154 061 00071",1984,1985,"6","6"
"08958F061 00352",1984,1985,"7","7"
"08958G061 00352",1984,1985,"7","7"
"08958H061 00388",1984,1985,"6","6"
"08958I061 00388",1984,1985,"6","6"
"06671 002 02809",1984,1985,"8","8"
"09155 061 00088",1984,1985,"8","8"
"09002 001 30443",1984,1985,"8","8"
"09161 061 00118",1984,1985,"8","8"
"16302 064 01982",1984,1985,"N","N"
"07036 002C00132",1984,1985,"7","7"
"05194 01W 00141",1984,1985,"7","7"
"05194R026 00002",1984,1985,"7","7"
"05195A01W 00193",1984,1985,"7","7"
"05195B01W 00198",1984,1985,"N","N"
"07999 068 00226",1984,1985,"7","7"
"08401B068C00037",1984,1985,"7","7"
"08590C001 30069",1984,1985,"8","8"
"08590D001 30068",1984,1985,"7","7"
"08591B001C30046",1984,1985,"7","7"
"08591C001 30010",1984,1985,"8","8"
"08591D001 30012",1984,1985,"7","7"
"08591E061 00053",1984,1985,"8","8"
"08591F061 00048",1984,1985,"8","8"
"02097 01E 00159",1984,1985,"7","8"
"02350A01EX00020",1984,1985,"6","6"
"08573 001 30253",1984,1985,"8","8"
"08574 001 30243",1984,1985,"8","8"
"08575 001 30229",1984,1985,"8","7"
"08575Q001 30233",1984,1985,"8","8"
"07040 01EX00020",1984,1985,"6","7"
"08205 01W 00622",1984,1985,"8","8"
"09280 061 00233",1984,1985,"8","8"
"01726 120 00038",1984,1985,"6","6"
"01740 02W 01319",1984,1985,"8","8"
"08996 123 00533",1984,1985,"8","8"
"08997 001 30493",1984,1985,"8","8"
"09000 001 30468",1984,1985,"8","8"
"06671A002 02809",1984,1985,"7","8"
"00840 125 01950",1984,1985,"6","6"
"00841 125 02003",1984,1985,"6","6"
"02529 061 00332",1984,1985,"8","8"
"09276 061 00245",1984,1985,"8","8"
"06497 123 00091",1984,1985,"6","6"
"06498 123 00027",1984,1985,"7","8"
"09277 061 00235",1984,1985,"8","8"
"09278 061 00225",1984,1985,"8","8"
"08882 001 30592",1984,1985,"8","8"
"08437 001 29655",1984,1985,"7","7"
"02163A002 00673",1984,1985,"8","7"
"H8588A002 00002",1984,1985,"7","7"
"N8588E001 30170",1984,1985,"6","6"
"04517 01WX00511",1984,1985,"7","6"
"04518 01WX00484",1984,1985,"7","6"
"04527 125 01376",1984,1985,"7","7"
"04528 125 01498",1984,1985,"7","8"
"04534 125 01972",1984,1985,"8","8"
"04543 125 02221",1984,1985,"7","7"
"13514H002 00660",1984,1985,"N","N"
"02733C01WX00014",1984,1985,"7","7"
"13514I064 02224",1984,1985,"N","N"
"N8958A001 30299",1984,1985,"7","7"
"13537 064 01811",1984,1985,"8","8"
"13538 064 01780",1984,1985,"8","8"
"13540 064 01743",1984,1985,"8","8"
"13540A064 01743",1984,1985,"8","8"
"13514C064 02271",1984,1985,"N","N"
"08575R001 30235",1984,1985,"8","7"
"08583 001 30199",1984,1985,"8","7"
"08588A002 00024",1984,1985,"8","8"
"08588B002 00002",1984,1985,"6","6"
"09254B061 00165",1984,1985,"N","N"
"09254C047 07397",1984,1985,"8","8"
"09254D047 07394",1984,1985,"7","7"
"R2163A002 00659",1984,1985,"7","7"
"R8588E001 30150",1984,1985,"6","6"
"02010 01W 00486",1984,1985,"7","7"
"S8588E001 30170",1984,1985,"8","6"
"S8958A001 30299",1984,1985,"7","7"
"02014A02W 01123",1984,1985,"N","N"
"09249T061 00197",1984,1985,"7","7"
"09250 061 00192",1984,1985,"7","7"
"09252 061 00177",1984,1985,"7","7"
"09253 061 00172",1984,1985,"7","7"
"09254A061C00209",1984,1985,"N","N"
"02019 125 00185",1984,1985,"7","7"
"01377A001 30838",1984,1985,"6","5"
"01377C01EX00441",1984,1985,"7","6"
"02237A01E 00262",1984,1985,"7","7"
"13514D002C00664",1984,1985,"N","N"
"13514E002C00676",1984,1985,"8","8"
"09281 061 00220",1984,1985,"8","8"
"08205R01WC00621",1984,1985,"7","7"
"01983 01W 00325",1984,1985,"7","7"
"01984 01W 00350",1984,1985,"8","8"
"09282 061 00214",1984,1985,"8","8"
"09282A061 00212",1984,1985,"8","8"
"09283 061 00207",1984,1985,"7","7"
"09284 061 00202",1984,1985,"8","8"
"06895R026 00002",1984,1985,"7","7"
"06896 01W 00161",1984,1985,"7","7"
"06924 002 04027",1984,1985,"8","8"
"13541 064 01722",1984,1985,"8","8"
"13541A064 01722",1984,1985,"8","8"
"07108A125 02193",1984,1985,"8","8"
"06895 01W 00167",1984,1985,"7","7"
"08588D001 30150",1984,1985,"8","6"
"07297 01EX00487",1984,1985,"8","8"
"07298 01EX00446",1984,1985,"8","8"
"08589A001 30150",1984,1985,"8","6"
"08589B001 30150",1984,1985,"8","7"
"08589C001 30150",1984,1985,"8","7"
"08589D001 30150",1984,1985,"7","6"
"06945 002 01782",1984,1985,"8","8"
"06945A002 01782",1984,1985,"8","8"
"13528 064 01962",1984,1985,"9","8"
"13531 064 01912",1984,1985,"9","8"
"09268 061 00310",1984,1985,"8","8"
"13516 002 00582",1984,1985,"9","8"
"09255 061 00139",1984,1985,"8","8"
"08194 003 00009",1984,1985,"7","7"
"08198 001 29755",1984,1985,"8","8"
"08201 001 29646",1984,1985,"7","7"
"08202 001 29634",1984,1985,"8","8"
"09268W061 00284",1984,1985,"8","8"
"02063 002 04155",1984,1985,"8","8"
"08328 001 30038",1984,1985,"7","7"
"08194R003 00010",1984,1985,"8","8"
"07333 001 30838",1984,1985,"8","8"
"08195 001 29923",1984,1985,"7","7"
"08196 001 29883",1984,1985,"8","8"
"09268A02W 00121",1984,1985,"7","7"
"09391 047 07341",1984,1985,"N","N"
"09392 047 07370",1984,1985,"N","N"
"01994 068 00224",1984,1985,"7","7"
"09377 002 04196",1984,1985,"7","7"
"09382 002 04131",1984,1985,"7","7"
"02194A002 03898",1984,1985,"8","7"
"00823 125 01601",1984,1985,"6","6"
"08402 123 01041",1984,1985,"8","8"
"13507 064 02475",1984,1985,"9","8"
"13507A064 02475",1984,1985,"9","8"
"13507B064C02479",1984,1985,"9","8"
"02062A002 04014",1984,1985,"6","6"
"02062B002 04014",1984,1985,"8","7"
"02237A01E 00262",1985,1986,"7","7"
"05054 026 00077",1985,1986,"6","6"
"05194 01W 00141",1985,1986,"7","7"
"05194R026 00002",1985,1986,"7","7"
"05195A01W 00193",1985,1986,"7","7"
"05195B01W 00198",1985,1986,"N","N"
"01377C01EX00441",1985,1986,"6","6"
"08198 001 29755",1985,1986,"8","8"
"01726 120 00038",1985,1986,"6","6"
"02014A02W 01123",1985,1986,"N","N"
"02019 125 00185",1985,1986,"7","7"
"01185A003 00400",1985,1986,"8","8"
"02193B002 03783",1985,1986,"7","7"
"02194A002 03898",1985,1986,"7","7"
"08958B061 00372",1985,1986,"6","6"
"08958D061 00352",1985,1986,"6","6"
"08958E001C30306",1985,1986,"7","7"
"08958F061 00352",1985,1986,"7","7"
"08958G061 00352",1985,1986,"7","7"
"08958H061 00388",1985,1986,"6","7"
"08958I061 00388",1985,1986,"6","6"
"07108A125 02193",1985,1986,"8","8"
"08322 01W 00526",1984,1985,"7","7"
"08470 002C02211",1984,1985,"7","7"
"08470R002C02210",1984,1985,"7","8"
"09711 064 01680",1984,1985,"7","8"
"09711A064 01680",1984,1985,"8","8"
"08882 001 30592",1985,1986,"8","7"
"08883 001 30622",1985,1986,"7","6"
"06767 026 00099",1985,1986,"6","6"
"08194 003 00009",1985,1986,"7","7"
"08194R003 00010",1985,1986,"8","8"
"08195 001 29923",1985,1986,"7","7"
"08196 001 29883",1985,1986,"8","7"
"06924 002 04027",1985,1986,"8","8"
"06945 002 01782",1985,1986,"8","8"
"06945A002 01782",1985,1986,"8","8"
"06767A026 00098",1985,1986,"7","7"
"06896 01W 00161",1985,1986,"7","7"
"02010 01W 00486",1985,1986,"7","7"
"06895 01W 00167",1985,1986,"7","7"
"06895R026 00002",1985,1986,"7","7"
"08692 002 03712",1985,1986,"8","8"
"09002 001 30443",1985,1986,"8","8"
"09007 001 30418",1985,1986,"8","8"
"09011 001 30398",1985,1986,"8","8"
"09012 001 30388",1985,1986,"7","7"
"09711 064 01680",1985,1986,"8","8"
"09711A064 01680",1985,1986,"8","8"
"02176A002 03512",1985,1986,"6","6"
"08958 061 00358",1985,1986,"6","6"
"13514D002C00664",1985,1986,"N","N"
"13514E002C00676",1985,1986,"8","8"
"13514F002 00694",1985,1986,"8","8"
"13514H002 00660",1985,1986,"N","N"
"13514I064 02224",1985,1986,"N","N"
"13514L002 00683",1985,1986,"8","8"
"13516 002 00582",1985,1986,"8","8"
"13516A064 02159",1985,1986,"8","8"
"13520 064 02112",1985,1986,"8","8"
"13521 064 02087",1985,1986,"8","8"
"13522 064 02062",1985,1986,"8","8"
"09254D047 07394",1985,1986,"7","7"
"07297 01EX00487",1985,1986,"8","8"
"07298 01EX00446",1985,1986,"8","8"
"09153 01W 00129",1985,1986,"8","8"
"09153R026 00002",1985,1986,"8","8"
"09154 061 00071",1985,1986,"6","6"
"09155 061 00088",1985,1986,"8","8"
"09059 123 01243",1985,1986,"8","8"
"01983 01W 00325",1985,1986,"7","7"
"01984 01W 00350",1985,1986,"8","8"
"08470 002C02211",1985,1986,"7","7"
"08470R002C02210",1985,1986,"8","8"
"02350A01EX00020",1985,1986,"6","6"
"N8958A001 30299",1985,1986,"7","6"
"R2163A002 00659",1985,1986,"7","7"
"05290 01EX00386",1985,1986,"6","6"
"09268B02W 00117",1984,1985,"7","7"
"09268E02W 00146",1984,1985,"8","8"
"09666 123 01115",1985,1986,"8","8"
"09667 064 02327",1985,1986,"8","8"
"09254A061C00209",1985,1986,"N","N"
"09254B061 00165",1985,1986,"N","N"
"09254C047 07397",1985,1986,"8","8"
"01377A001 30838",1985,1986,"5","5"
"09268N061 00284",1984,1985,"7","7"
"09268S061 00284",1984,1985,"7","7"
"02529 061 00332",1985,1986,"8","8"
"08201 001 29646",1985,1986,"7","7"
"08202 001 29634",1985,1986,"8","6"
"09377 002 04196",1985,1986,"7","7"
"08205 01W 00622",1985,1986,"8","8"
"08205R01WC00621",1985,1986,"7","7"
"09382 002 04131",1985,1986,"7","7"
"13514C064 02271",1985,1986,"N","N"
"02163A002 00673",1985,1986,"7","7"
"08322 01W 00526",1985,1986,"7","7"
"08996 123 00533",1985,1986,"8","8"
"08997 001 30493",1985,1986,"8","8"
"09000 001 30468",1985,1986,"8","8"
"02733C01WX00014",1985,1986,"7","7"
"01740 02W 01319",1985,1986,"8","8"
"13507 064 02475",1985,1986,"8","8"
"13507A064 02475",1985,1986,"8","8"
"13507B064C02479",1985,1986,"8","8"
"02062B002 04014",1985,1986,"7","7"
"02063 002 04155",1985,1986,"8","8"
"02063A002C04157",1985,1986,"7","7"
"07999 068 00226",1985,1986,"7","7"
"09391 047 07341",1985,1986,"N","N"
"R8588E001 30150",1985,1986,"6","7"
"09392 047 07370",1985,1986,"N","N"
"S8588E001 30170",1985,1986,"6","6"
"09161 061 00118",1985,1986,"8","8"
"06671 002 02809",1985,1986,"8","8"
"06671A002 02809",1985,1986,"8","8"
"08591C001 30010",1985,1986,"8","7"
"08591D001 30012",1985,1986,"7","8"
"08591E061 00053",1985,1986,"8","8"
"08591F061 00048",1985,1986,"8","8"
"07333 001 30838",1985,1986,"8","8"
"00840 125 01950",1985,1986,"6","6"
"00841 125 02003",1985,1986,"6","6"
"07036 002C00132",1985,1986,"7","7"
"07040 01EX00020",1985,1986,"7","7"
"08328 001 30038",1985,1986,"7","7"
"09268 061 00310",1985,1986,"8","8"
"09268A02W 00121",1985,1986,"7","7"
"09268B02W 00117",1985,1986,"7","7"
"S8958A001 30299",1985,1986,"7","6"
"08573 001 30253",1985,1986,"8","7"
"08574 001 30243",1985,1986,"8","8"
"08575 001 30229",1985,1986,"7","7"
"09253 061 00172",1985,1986,"7","7"
"06497 123 00091",1985,1986,"6","6"
"06498 123 00027",1985,1986,"8","8"
"09255 061 00139",1985,1986,"8","8"
"02176 002 03512",1985,1986,"7","7"
"02097 01E 00159",1985,1986,"8","8"
"16055 064 02434",1985,1986,"8","8"
"16055A064 02433",1985,1986,"8","8"
"09249T061 00197",1985,1986,"7","7"
"09250 061 00192",1985,1986,"7","7"
"09252 061 00177",1985,1986,"7","7"
"00823 125 01601",1985,1986,"6","6"
"04518 01WX00484",1985,1986,"6","6"
"04527 125 01376",1985,1986,"7","7"
"04528 125 01498",1985,1986,"8","8"
"04534 125 01972",1985,1986,"8","8"
"04543 125 02221",1985,1986,"7","7"
"13523 064 02057",1985,1986,"8","8"
"13527 064 02005",1985,1986,"8","8"
"13528 064 01962",1985,1986,"8","8"
"13531 064 01912",1985,1986,"8","8"
"13533 064 01862",1985,1986,"8","8"
"13537 064 01811",1985,1986,"8","8"
"13538 064 01780",1985,1986,"8","8"
"13540 064 01743",1985,1986,"8","8"
"13540A064 01743",1985,1986,"8","8"
"13541 064 01722",1985,1986,"8","8"
"13541A064 01722",1985,1986,"8","8"
"08590D001 30068",1985,1986,"7","7"
"08591B001C30046",1985,1986,"7","7"
"08589B001 30150",1985,1986,"7","7"
"08589C001 30150",1985,1986,"7","6"
"08589D001 30150",1985,1986,"6","6"
"08590C001 30069",1985,1986,"8","7"
"07333 001 30838",1986,1987,"8","7"
"08470 002C02211",1986,1987,"7","7"
"08470R002C02210",1986,1987,"8","8"
"08401B068C00037",1985,1986,"7","7"
"08402 123 01041",1985,1986,"8","8"
"02062A002 04014",1985,1986,"6","6"
"H8588A002 00002",1985,1986,"7","7"
"N8588E001 30170",1985,1986,"6","6"
"08037 002C02503",1985,1986,"8","8"
"01994 068 00224",1985,1986,"7","7"
"04517 01WX00511",1985,1986,"6","6"
"09555 064 02632",1985,1986,"8","8"
"16188 064 02525",1985,1986,"8","8"
"09268E02W 00146",1985,1986,"8","8"
"09268N061 00284",1985,1986,"7","7"
"09268S061 00284",1985,1986,"7","7"
"09268W061 00284",1985,1986,"8","8"
"08575Q001 30233",1985,1986,"8","7"
"08575R001 30235",1985,1986,"7","7"
"08583 001 30199",1985,1986,"7","7"
"08588A002 00024",1985,1986,"8","8"
"08588B002 00002",1985,1986,"6","8"
"08588C002 00020",1985,1986,"6","7"
"08588D001 30150",1985,1986,"6","6"
"08589A001 30150",1985,1986,"6","6"
"09276 061 00245",1985,1986,"8","8"
"09277 061 00235",1985,1986,"8","8"
"09278 061 00225",1985,1986,"8","8"
"09280 061 00233",1985,1986,"8","8"
"09281 061 00220",1985,1986,"8","8"
"09282 061 00214",1985,1986,"8","8"
"09282A061 00212",1985,1986,"8","8"
"09283 061 00207",1985,1986,"7","7"
"09284 061 00202",1985,1986,"8","8"
"08437 001 29655",1985,1986,"7","7"
"16302 064 01982",1985,1986,"N","N"
"09555 064 02632",1986,1987,"8","8"
"02014A02W 01123",1986,1987,"N","N"
"05290 01EX00386",1986,1987,"6","6"
"08201 001 29646",1986,1987,"7","7"
"08202 001 29634",1986,1987,"6","6"
"08203B001 29604",1986,1987,"7","7"
"09255 061 00139",1986,1987,"8","7"
"13514E002C00676",1986,1987,"8","8"
"09268 061 00310",1986,1987,"8","8"
"09268A02W 00121",1986,1987,"7","7"
"09268B02W 00117",1986,1987,"7","7"
"13514F002 00694",1986,1987,"8","8"
"13514H002 00660",1986,1987,"N","N"
"06767 026 00099",1986,1987,"6","6"
"06767A026 00098",1986,1987,"7","7"
"07108A125 02193",1986,1987,"8","8"
"H8588A002 00002",1986,1987,"7","7"
"N8588E001 30170",1986,1987,"6","7"
"N8958A001 30299",1986,1987,"6","7"
"16553 002C00280",1986,1987,"8","8"
"08205 01W 00622",1986,1987,"8","7"
"08205R01WC00621",1986,1987,"7","7"
"00823 125 01601",1986,1987,"6","6"
"07036 002C00132",1986,1987,"7","7"
"07040 01EX00020",1986,1987,"7","7"
"02529 061 00332",1986,1987,"8","8"
"08322 01W 00526",1986,1987,"7","7"
"02733C01WX00014",1986,1987,"7","7"
"13507 064 02475",1986,1987,"8","8"
"13507A064 02475",1986,1987,"8","8"
"13507B064C02479",1986,1987,"8","8"
"13514C064 02271",1986,1987,"N","N"
"13514D002C00664",1986,1987,"N","N"
"13514I064 02224",1986,1987,"N","N"
"02010 01W 00486",1986,1987,"7","7"
"00840 125 01950",1986,1987,"6","6"
"00841 125 02003",1986,1987,"6","6"
"08328 001 30038",1986,1987,"7","7"
"09268E02W 00146",1986,1987,"8","8"
"09268N061 00284",1986,1987,"7","7"
"09268S061 00284",1986,1987,"7","7"
"09268W061 00284",1986,1987,"8","8"
"09276 061 00245",1986,1987,"8","8"
"09277 061 00235",1986,1987,"8","8"
"09278 061 00225",1986,1987,"8","8"
"02176 002 03512",1986,1987,"7","7"
"02176A002 03512",1986,1987,"6","6"
"02193B002 03783",1986,1987,"7","8"
"08583 001 30199",1986,1987,"7","8"
"08588A002 00024",1986,1987,"8","7"
"08588B002 00002",1986,1987,"8","7"
"08588C002 00020",1986,1987,"7","7"
"08588D001 30150",1986,1987,"6","7"
"08589A001 30150",1986,1987,"6","8"
"09667 064 02327",1986,1987,"8","8"
"09711A064 01680",1986,1987,"8","8"
"08589B001 30150",1986,1987,"7","8"
"08589C001 30150",1986,1987,"6","8"
"08589D001 30150",1986,1987,"6","8"
"09279 061 00233",1986,1987,"N","N"
"02350A01EX00020",1986,1987,"6","6"
"08590C001 30069",1986,1987,"7","7"
"08590D001 30068",1986,1987,"7","7"
"08591B001C30046",1986,1987,"7","7"
"01185A003 00400",1986,1987,"8","8"
"16188 064 02525",1986,1987,"8","8"
"09711 064 01680",1986,1987,"8","8"
"13541 064 01722",1986,1987,"8","8"
"08198 001 29755",1986,1987,"8","8"
"13541A064 01722",1986,1987,"8","8"
"08194 003 00009",1986,1987,"7","7"
"08194R003 00010",1986,1987,"8","7"
"08575R001 30235",1986,1987,"7","7"
"08195 001 29923",1986,1987,"7","7"
"08196 001 29883",1986,1987,"7","7"
"08591C001 30010",1986,1987,"7","7"
"08591D001 30012",1986,1987,"8","8"
"08591E061 00053",1986,1987,"8","7"
"08591F061 00048",1986,1987,"8","8"
"13531 064 01912",1986,1987,"8","8"
"13533 064 01862",1986,1987,"8","8"
"13537 064 01811",1986,1987,"8","8"
"13538 064 01780",1986,1987,"8","8"
"13540 064 01743",1986,1987,"8","8"
"13514L002 00683",1986,1987,"8","8"
"13516 002 00582",1986,1987,"8","7"
"13516A064 02159",1986,1987,"8","8"
"13520 064 02112",1986,1987,"8","8"
"13521 064 02087",1986,1987,"8","8"
"04527 125 01376",1986,1987,"7","6"
"04528 125 01498",1986,1987,"8","6"
"04534 125 01972",1986,1987,"8","8"
"13522 064 02062",1986,1987,"8","8"
"13523 064 02057",1986,1987,"8","8"
"13527 064 02005",1986,1987,"8","8"
"13528 064 01962",1986,1987,"8","8"
"01377A001 30838",1986,1987,"5","5"
"R2163A002 00659",1986,1987,"7","6"
"04543 125 02221",1986,1987,"7","6"
"09391 047 07341",1986,1987,"N","N"
"01983 01W 00325",1986,1987,"7","7"
"09249T061 00197",1986,1987,"7","7"
"09250 061 00192",1986,1987,"7","7"
"09252 061 00177",1986,1987,"7","6"
"02237A01E 00262",1986,1987,"7","8"
"02194A002 03898",1986,1987,"7","7"
"02097 01E 00159",1986,1987,"8","7"
"05054 026 00077",1986,1987,"6","6"
"05194 01W 00141",1986,1987,"7","6"
"05194R026 00002",1986,1987,"7","7"
"05195A01W 00193",1986,1987,"7","6"
"05195B01W 00198",1986,1987,"N","N"
"09059 123 01243",1986,1987,"8","8"
"09382 002 04131",1986,1987,"7","7"
"06497 123 00091",1986,1987,"6","6"
"06498 123 00027",1986,1987,"8","8"
"09253 061 00172",1986,1987,"7","7"
"09254A061C00209",1986,1987,"N","N"
"02163A002 00673",1986,1987,"7","7"
"01984 01W 00350",1986,1987,"8","8"
"07999 068 00226",1986,1987,"7","7"
"07999C068 00243",1986,1987,"8","8"
"01726 120 00038",1986,1987,"6","6"
"R8588E001 30150",1986,1987,"7","8"
"S8588E001 30170",1986,1987,"6","7"
"S8958A001 30299",1986,1987,"6","6"
"08037 002C02503",1986,1987,"8","8"
"08958 061 00358",1986,1987,"6","6"
"08692 002 03712",1986,1987,"8","8"
"08958B061 00372",1986,1987,"6","6"
"08958D061 00352",1986,1987,"6","6"
"08958E001C30306",1986,1987,"7","7"
"08958F061 00352",1986,1987,"7","7"
"08958G061 00352",1986,1987,"7","7"
"08958H061 00388",1986,1987,"7","7"
"08958I061 00388",1986,1987,"6","6"
"09254B061 00165",1986,1987,"N","N"
"09254C047 07397",1986,1987,"8","7"
"09254D047 07394",1986,1987,"7","7"
"04517 01WX00511",1986,1987,"6","6"
"01994 068 00224",1986,1987,"7","7"
"04518 01WX00484",1986,1987,"6","6"
"07297 01EX00487",1986,1987,"8","8"
"07298 01EX00446",1986,1987,"8","8"
"02019 125 00185",1986,1987,"7","6"
"02062A002 04014",1986,1987,"6","6"
"02062B002 04014",1986,1987,"7","7"
"02063 002 04155",1986,1987,"8","8"
"02063A002C04157",1986,1987,"7","7"
"09280 061 00233",1986,1987,"8","8"
"09281 061 00220",1986,1987,"8","7"
"09282 061 00214",1986,1987,"8","8"
"09282A061 00212",1986,1987,"8","8"
"08882 001 30592",1986,1987,"7","7"
"08883 001 30622",1986,1987,"6","6"
"16055 064 02434",1986,1987,"8","7"
"16055A064 02433",1986,1987,"8","8"
"13540A064 01743",1986,1987,"8","8"
"08437 001 29655",1986,1987,"7","7"
"16302 064 01982",1986,1987,"N","N"
"01740 02W 01319",1986,1987,"8","8"
"08401B068C00037",1986,1987,"7","7"
"08402 123 01041",1986,1987,"8","8"
"09283 061 00207",1986,1987,"7","7"
"09284 061 00202",1986,1987,"8","7"
"08782A001 30265",1986,1987,"6","7"
"09153 01W 00129",1986,1987,"8","7"
"09153R026 00002",1986,1987,"8","8"
"09154 061 00071",1986,1987,"6","6"
"09155 061 00088",1986,1987,"8","7"
"09161 061 00118",1986,1987,"8","8"
"09377 002 04196",1986,1987,"7","7"
"06895 01W 00167",1986,1987,"7","6"
"06895R026 00002",1986,1987,"7","7"
"06896 01W 00161",1986,1987,"7","7"
"06924 002 04027",1986,1987,"8","7"
"06945 002 01782",1986,1987,"8","8"
"06945A002 01782",1986,1987,"8","8"
"09666 123 01115",1986,1987,"8","8"
"08996 123 00533",1986,1987,"8","8"
"08997 001 30493",1986,1987,"8","8"
"09000 001 30468",1986,1987,"8","8"
"09002 001 30443",1986,1987,"8","8"
"09007 001 30418",1986,1987,"8","8"
"09011 001 30398",1986,1987,"8","8"
"09012 001 30388",1986,1987,"7","7"
"08573 001 30253",1986,1987,"7","7"
"08574 001 30243",1986,1987,"8","7"
"08575 001 30229",1986,1987,"7","7"
"06671 002 02809",1986,1987,"8","6"
"06671A002 02809",1986,1987,"8","8"
"00841 125 02003",1987,1988,"6","6"
"08588A002 00024",1987,1988,"7","7"
"08588B002 00002",1987,1988,"7","7"
"07298 01EX00446",1987,1988,"8","8"
"08588C002 00020",1987,1988,"7","7"
"08588D001 30150",1987,1988,"7","7"
"08589A001 30150",1987,1988,"8","8"
"08589B001 30150",1987,1988,"8","8"
"08589C001 30150",1987,1988,"8","8"
"08589D001 30150",1987,1988,"8","8"
"16526 001 30759",1987,1988,"8","8"
"16534 001C30322",1987,1988,"8","8"
"16535 001C30309",1987,1988,"8","8"
"16055 064 02434",1987,1988,"7","7"
"16055A064 02433",1987,1988,"8","8"
"16553 002C00280",1987,1988,"8","8"
"02163A002 00673",1987,1988,"7","7"
"00840 125 01950",1987,1988,"6","6"
"07297 01EX00487",1987,1988,"8","8"
"09666 123 01115",1987,1988,"8","8"
"08590C001 30069",1987,1988,"7","7"
"02350A01EX00020",1987,1988,"6","6"
"08590D001 30068",1987,1988,"7","7"
"08591B001C30046",1987,1988,"7","7"
"08591C001 30010",1987,1988,"7","7"
"08591D001 30012",1987,1988,"8","7"
"08591E061 00053",1987,1988,"7","7"
"08591F061 00048",1987,1988,"8","8"
"06895 01W 00167",1987,1988,"6","5"
"06895R026 00002",1987,1988,"7","7"
"06896 01W 00161",1987,1988,"7","7"
"08037 002C02503",1987,1988,"8","8"
"08958 061 00358",1987,1988,"6","7"
"08958B061 00372",1987,1988,"6","7"
"06671 002 02809",1987,1988,"6","6"
"06671A002 02809",1987,1988,"8","8"
"09392 047 07370",1986,1987,"N","N"
"07999 068 00226",1987,1988,"7","7"
"07999C068 00243",1987,1988,"8","8"
"16302 064 01982",1987,1988,"N","N"
"09268N061 00284",1987,1988,"7","7"
"09268S061 00284",1987,1988,"7","7"
"09268W061 00284",1987,1988,"8","8"
"09276 061 00245",1987,1988,"8","7"
"09277 061 00235",1987,1988,"8","7"
"09278 061 00225",1987,1988,"8","8"
"09279 061 00233",1987,1988,"N","N"
"01994 068 00224",1987,1988,"7","7"
"08883 001 30622",1987,1988,"6","6"
"09000 001 30468",1987,1988,"8","8"
"09002 001 30443",1987,1988,"8","8"
"16358 001C30298",1987,1988,"8","8"
"09007 001 30418",1987,1988,"8","8"
"09011 001 30398",1987,1988,"8","8"
"09012 001 30388",1987,1988,"7","7"
"09268A02W 00121",1987,1988,"7","7"
"02733B01WX00052",1987,1988,"8","8"
"02733C01WX00014",1987,1988,"7","7"
"08470R002C02210",1987,1988,"8","8"
"09268B02W 00117",1987,1988,"7","7"
"09268E02W 00146",1987,1988,"8","7"
"07040 01EX00020",1987,1988,"7","7"
"08996 123 00533",1987,1988,"8","8"
"08997 001 30493",1987,1988,"8","8"
"09153 01W 00129",1987,1988,"7","7"
"09153R026 00002",1987,1988,"8","8"
"07036 002C00132",1987,1988,"7","7"
"09284 061 00202",1987,1988,"7","7"
"01983 01W 00325",1987,1988,"7","6"
"01984 01W 00350",1987,1988,"8","7"
"02097 01E 00159",1987,1988,"7","7"
"09392 047 07370",1987,1988,"N","N"
"09280 061 00233",1987,1988,"8","7"
"02176A002 03512",1987,1988,"6","6"
"H8588A002 00002",1987,1988,"7","7"
"N8588E001 30170",1987,1988,"7","7"
"02193B002 03783",1987,1988,"8","8"
"02194A002 03898",1987,1988,"7","7"
"05194 01W 00141",1987,1988,"6","5"
"05194R026 00002",1987,1988,"7","7"
"07108A125 02193",1987,1988,"8","8"
"08882 001 30592",1987,1988,"7","7"
"13507B064C02479",1987,1988,"8","8"
"06924 002 04027",1987,1988,"7","7"
"09667 064 02327",1987,1988,"8","8"
"06945 002 01782",1987,1988,"8","8"
"06945A002 01782",1987,1988,"8","8"
"09391 047 07341",1987,1988,"N","N"
"08437 001 29655",1987,1988,"7","6"
"01377A001 30838",1987,1988,"5","5"
"08470 002C02211",1987,1988,"7","7"
"07031A068 00225",1987,1988,"8","8"
"08692 002 03712",1987,1988,"8","8"
"07032A002 00355",1987,1988,"7","7"
"07981A002 00182",1987,1988,"7","7"
"01726 120 00038",1987,1988,"6","6"
"06497 123 00091",1987,1988,"6","6"
"06498 123 00027",1987,1988,"8","7"
"02010 01W 00486",1987,1988,"7","7"
